ligand,value,error
lig_23,0.37,0.03
lig_26,1.0,0.44
lig_27,35.0,7.1
lig_28,15,0.7
lig_29,8.8,1.7
lig_30,1.9,0.6
lig_31,1.7,0.08
lig_32,16,3.1
lig_33,9.8,2.9
lig_34,9.9,3.2
lig_35,0.38,0.14
lig_36,1.1,0.1
lig_37,0.3,0.15
lig_38,7.7,2.1
lig_40,5.2,0.3
lig_42,0.33,0.1
lig_43,7.5,0.6
lig_44,0.48,0.01
lig_45,0.3,0.1
lig_46,2.9,0.1
lig_47,62,17
lig_48,14,0.3
lig_49,0.81,0.16
lig_50,0.16,0.04
lig_52,0.19,0.02
lig_53,0.055,0.018
lig_56,0.18,0.01
lig_58,0.14,0.01
lig_59,0.29,0.17
lig_60,0.32,0.01
lig_61,1.3,0.52
lig_63,0.25,0.04
lig_65,0.75,0.24
lig_67,3.0,0.1
