lig_0,lig_1,freenrg,error,engine,analysis,method
lig_50,lig_60,-0.3346084,0.12428312,,,None
lig_60,lig_36,0.4517213399999999,0.07409186,,,None
lig_56,lig_35,0.28919726,0.12189306,,,None
lig_56,lig_60,0.06931174,0.10277258,,,None
lig_35,lig_37,-0.26529666,0.0836521,,,None
lig_35,lig_53,-0.59512494,0.07648192,,,None
lig_35,lig_33,-0.11711294,0.04541114,,,None
lig_35,lig_60,-0.31787798,0.27246684,,,None
lig_35,lig_36,0.0215105399999999,0.09321234,,,None
lig_35,lig_34,0.00239006,0.15057378,,,None
lig_35,lig_39,0.46845176,0.16252408,,,None
lig_65,lig_60,0.2151054,0.03107078,,,None
lig_65,lig_67,0.0478012,0.03824096,,,None
lig_26,lig_57,0.2796370199999999,0.02629066,,,None
lig_26,lig_44,0.28919726,0.10516264,,,None
lig_26,lig_64,0.02868072,0.0836521,,,None
lig_57,lig_23,-0.08126204,0.0239006,,,None
lig_58,lig_60,0.36567918,0.06931174,,,None
lig_62,lig_45,-0.23183582,0.05497138,,,None
lig_62,lig_26,-0.4541114,0.07887198,,,None
lig_43,lig_27,-0.11711294,0.05258132,,,None
lig_43,lig_47,0.1959849199999999,0.10277258,,,None
lig_27,lig_45,-0.0430210799999999,0.1075527,,,None
lig_27,lig_46,0.0597515,0.1075527,,,None
lig_27,lig_23,-0.44455116,0.04063102,,,None
lig_67,lig_58,-0.30353762,0.06692168,,,None
lig_67,lig_32,0.61663548,0.04063102,,,None
lig_67,lig_63,-0.2844171399999999,0.07409186,,,None
lig_67,lig_53,-0.2270557,0.14101354,,,None
lig_67,lig_61,0.28202708,0.119503,,,None
lig_67,lig_27,0.5688342799999999,0.1792544999999999,,,None
lig_67,lig_52,0.16013402,0.0215105399999999,,,None
lig_67,lig_35,0.4517213399999999,0.10516264,,,None
lig_67,lig_50,0.23422588,0.0239006,,,None
lig_67,lig_37,0.12428312,0.03107078,,,None
lig_32,lig_46,-0.12667318,0.1003825199999999,,,None
lig_32,lig_34,-0.18164456,0.03107078,,,None
lig_30,lig_40,-0.15296384,0.20554516,,,None
lig_30,lig_35,-0.239006,0.1075527,,,None
lig_30,lig_48,0.61902554,0.1075527,,,None
lig_38,lig_60,-0.12906324,0.15057378,,,None
lig_41,lig_35,0.3226581,0.18164456,,,None
lig_41,lig_32,0.5401535599999999,0.18164456,,,None
lig_54,lig_23,0.5353734400000001,0.0358509,,,None
lig_54,lig_42,0.5497137999999999,0.0956024,,,None
lig_66,lig_42,0.13862348,0.01912048,,,None
lig_66,lig_23,-0.05258132,0.0358509,,,None
lig_42,lig_51,0.03346084,0.08126204,,,None
lig_42,lig_64,-0.2629066,0.12667318,,,None
lig_29,lig_40,-1.22610078,0.73613848,,,None
lig_29,lig_35,-0.78632974,0.26529666,,,None
lig_29,lig_27,-0.8006701,0.2844171399999999,,,None
lig_44,lig_23,-0.13384336,0.05497138,,,None
lig_51,lig_45,-0.31548792,0.05736144,,,None
lig_39,lig_32,-0.239006,0.1314533,,,None
lig_28,lig_35,-0.3322183399999999,0.11472288,,,None
lig_28,lig_27,-0.10516264,0.0358509,,,None
lig_28,lig_47,-0.1075527,0.11711294,,,None
lig_63,lig_60,0.44455116,0.0215105399999999,,,None
lig_61,lig_60,-0.13623342,0.0836521,,,None
lig_31,lig_35,-0.21749546,0.0860421599999999,,,None
lig_48,lig_27,-0.6978975199999999,0.10994276,,,None
lig_68,lig_45,-0.07409186,0.1123328199999999,,,None
lig_68,lig_23,0.03346084,0.0597515,,,None
lig_52,lig_60,0.1314533,0.119503,,,None
lig_49,lig_67,0.02629066,0.18164456,,,None
