# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_224,-9.66013,0.64
lig_290,-10.5657,0.64
lig_235,-10.123,0.64
lig_266,-10.5337,0.64
lig_155,-10.5033,0.64
lig_30,-10.5657,0.64
lig_42,-8.93969,0.64
lig_251,-10.2436,0.64
lig_67,-10.1717,0.64
lig_256,-10.6737,0.64
lig_23,-7.06742,0.64
lig_31,-8.84235,0.64
lig_43,-8.69946,0.64
lig_252,-9.71233,0.64
lig_164,-6.76476,0.64
lig_237,-9.54973,0.64
lig_227,-10.7585,0.64
lig_15,-11.0462,0.64
lig_156,-9.73619,0.64
lig_57,-10.6737,0.64
lig_165,-9.23534,0.64
lig_215,-10.5996,0.64
lig_231,-10.0228,0.64
lig_336,-9.82348,0.64
lig_167,-10.6737,0.64
lig_234,-10.3478,0.64
lig_289,-10.914,0.64
lig_254,-9.54973,0.64
lig_338,-10.7585,0.64
lig_163,-11.0103,0.64
lig_206,-10.123,0.64
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_224,lig_290,-3.0743,0.1276,0.0
lig_224,lig_235,0.1684,0.683,0.0
lig_266,lig_290,-2.2304,0.1696,0.0
lig_155,lig_30,0.4143,0.307,0.0
lig_155,lig_42,0.2021,0.2386,0.0
lig_235,lig_266,-0.6441,0.2523,0.0
lig_251,lig_67,-1.4836,0.2469,0.0
lig_256,lig_67,-3.404,0.1737,0.0
lig_30,lig_42,0.2917,0.1524,0.0
lig_155,lig_23,3.5869,0.3433,0.0
lig_31,lig_43,-0.5123,0.203,0.0
lig_23,lig_251,-1.8661,0.2335,0.0
lig_252,lig_256,0.9748,0.1385,0.0
lig_164,lig_237,0.9952,0.1387,0.0
lig_227,lig_235,2.7483,0.041,0.0
lig_15,lig_227,-1.1628,0.143,0.0
lig_15,lig_237,-0.2332,0.0381,0.0
lig_156,lig_57,-1.5161,0.0979,0.0
lig_164,lig_165,-0.3495,0.0172,0.0
lig_215,lig_231,0.7271,0.0955,0.0
lig_235,lig_290,-0.3565,0.1384,0.0
lig_15,lig_215,1.6624,0.0691,0.0
lig_227,lig_290,2.3035,0.1531,0.0
lig_231,lig_336,0.8769,0.1865,0.0
lig_30,lig_31,1.9075,0.1525,0.0
lig_155,lig_156,0.0642,0.0694,0.0
lig_155,lig_57,-1.4138,0.0915,0.0
lig_167,lig_215,-0.1454,0.1104,0.0
lig_167,lig_234,0.6819,0.0762,0.0
lig_227,lig_57,2.3302,0.0433,0.0
lig_231,lig_289,-1.0698,0.092,0.0
lig_251,lig_256,0.1196,0.1875,0.0
lig_252,lig_254,1.5966,0.2826,0.0
lig_252,lig_338,-0.2047,0.0189,0.0
lig_336,lig_338,0.6629,0.0683,0.0
lig_42,lig_43,0.8643,0.0321,0.0
lig_163,lig_165,0.2584,0.1509,0.0
lig_163,lig_234,0.2437,0.0558,0.0
lig_163,lig_252,0.871,0.1638,0.0
lig_206,lig_215,-2.3207,0.066,0.0
lig_206,lig_254,0.2655,0.1753,0.0
lig_289,lig_336,1.8764,0.2138,0.0
