lig_0,lig_1,freenrg,error,engine,analysis
lig_224,lig_290,-3.2720 kcal/mol,0.2289 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_224,lig_235,0.0613 kcal/mol,0.7351 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_266,lig_290,-2.1510 kcal/mol,0.1524 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_155,lig_30,0.6237 kcal/mol,0.2191 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_155,lig_42,0.3690 kcal/mol,0.2169 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_235,lig_266,-0.4422 kcal/mol,0.2664 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_251,lig_67,-1.5325 kcal/mol,0.1294 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_256,lig_67,-3.4481 kcal/mol,0.2164 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_30,lig_42,0.3038 kcal/mol,0.1941 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_155,lig_23,3.4501 kcal/mol,0.2882 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_31,lig_43,-0.4885 kcal/mol,0.1774 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_23,lig_251,-1.9628 kcal/mol,0.2017 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_252,lig_256,1.0020 kcal/mol,0.1600 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_164,lig_237,0.9922 kcal/mol,0.1533 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_227,lig_235,2.7437 kcal/mol,0.0762 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_15,lig_227,-1.1336 kcal/mol,0.2177 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_15,lig_237,-0.2534 kcal/mol,0.0417 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
lig_156,lig_57,-1.4782 kcal/mol,0.0898 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100
