lig_0,lig_1,freenrg,error,engine,analysis
lig_224,lig_290,-3.1120 kcal/mol,0.3128 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_224,lig_235,1.6150 kcal/mol,0.9661 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_266,lig_290,-2.5244 kcal/mol,0.4327 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_155,lig_30,1.3097 kcal/mol,0.2954 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_155,lig_42,2.9186 kcal/mol,0.2971 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_235,lig_266,1.1396 kcal/mol,1.1118 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_251,lig_67,-3.6083 kcal/mol,0.1800 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_256,lig_67,-4.2606 kcal/mol,0.4036 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_30,lig_42,1.5300 kcal/mol,0.2447 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_155,lig_23,3.1852 kcal/mol,0.2580 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_31,lig_43,0.1014 kcal/mol,0.2774 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_23,lig_251,-3.0616 kcal/mol,0.4184 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_252,lig_256,-0.4009 kcal/mol,0.4919 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_164,lig_237,0.4452 kcal/mol,0.4417 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_227,lig_235,1.8843 kcal/mol,0.5472 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_15,lig_227,-1.6215 kcal/mol,0.4934 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_15,lig_237,-0.2448 kcal/mol,0.0733 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_156,lig_57,-1.5881 kcal/mol,0.1873 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
