ligand,freenrg,error,engine,analysis,method
lig_15,-0.6595999999999999,-0.5235999999999998,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_155,1.0894000000000004,-0.5105999999999998,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_156,1.0974,-0.5155999999999998,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_163,0.35540000000000005,-0.48059999999999986,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_164,-0.22559999999999986,-0.36459999999999987,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_165,-0.4405999999999999,-0.38659999999999983,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_167,0.06740000000000013,-0.5315999999999999,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_206,2.1794000000000002,-0.5355999999999999,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_215,0.09540000000000015,-0.5485999999999999,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_224,-0.30559999999999987,-0.40959999999999985,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_227,-2.8636,-0.5275999999999998,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_231,0.22440000000000015,-0.5365999999999999,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_234,0.8354000000000003,-0.5045999999999998,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_235,-0.7125999999999999,-0.47159999999999985,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_237,-0.7945999999999999,-0.5005999999999998,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_251,-0.47259999999999985,-0.17259999999999986,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_252,0.23240000000000016,-0.5115999999999998,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_254,1.2884000000000002,-0.48159999999999986,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_256,-0.16359999999999986,-0.47459999999999986,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_266,-1.5235999999999998,-0.3715999999999999,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_289,-0.5275999999999998,-0.5305999999999998,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_290,-3.2356,-0.46359999999999985,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_30,1.4084000000000003,-0.46059999999999984,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_31,3.1234,-0.40559999999999985,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_336,-0.23359999999999986,-0.5185999999999998,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_338,-0.06659999999999988,-0.5095999999999998,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_42,1.8134000000000001,-0.45859999999999984,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_43,2.4904,-0.4545999999999999,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_57,-0.7095999999999999,-0.5245999999999998,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_67,-3.3655999999999997,-0.32459999999999983,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
