,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_37~lig_65,-3.3734,0.7618,-1.4206,0.1036
lig_27~lig_65,-0.8767,1.2658,-3.5453,0.1034
lig_27~lig_61,0.6064,0.8874,-1.808,0.0671
lig_53~lig_58,-2.0649,0.4809,-1.0094,0.0603
lig_27~lig_60,-1.5932,1.1296,-1.849,0.0824
lig_27~lig_39,-2.3133,0.4479,-1.0023,0.0885
lig_27~lig_34,0.385,0.8125,-1.7697,0.047
lig_27~lig_33,-1.3994,0.1974,-1.108,0.0557
lig_27~lig_67,-4.1547,0.5476,-2.3302,0.0661
lig_27~lig_50,-2.3426,0.5145,-1.7945,0.0526
lig_27~lig_63,-3.1685,0.8878,-4.0618,0.0924
lig_27~lig_32,-0.3209,0.5282,-0.5612,0.1239
lig_53~lig_63,-1.8219,0.2089,-0.688,0.0669
lig_37~lig_53,-2.7161,0.2174,-2.2009,0.0178
lig_27~lig_56,-2.4341,0.6843,-2.1945,0.0636
lig_37~lig_61,3.2534,0.9475,-0.1833,0.0744
lig_56~lig_58,-2.3484,0.2067,-2.0654,0.023
