,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_27~lig_39,-2.8241,0.325,-2.3133,0.4479
lig_33~lig_34,-0.7107,0.2618,2.1492,0.7977
lig_32~lig_34,-1.0035,0.0973,-0.6107,0.4073
lig_33~lig_67,-1.7651,0.2593,-1.9716,0.772
lig_33~lig_37,-1.3446,0.1422,-0.8913,0.8067
lig_65~lig_67,1.9573,0.1528,-1.0034,0.509
lig_27~lig_32,-0.3328,0.0615,-0.3209,0.5282
lig_27~lig_33,-1.0982,0.0627,-1.3994,0.1974
lig_37~lig_50,0.6453,0.2093,-1.0074,0.1784
lig_37~lig_56,-0.5551,0.0798,-1.1572,0.6464
lig_53~lig_58,-0.6909,0.0485,-2.0649,0.4809
lig_56~lig_58,-2.1527,0.1269,-2.3484,0.2067
lig_60~lig_61,1.231,0.1374,-0.2082,0.2845
lig_60~lig_63,-1.7355,0.0799,-2.2148,0.2696
lig_60~lig_65,-1.7399,0.0348,-1.9226,0.0622
lig_50~lig_61,-1.0087,0.042,-1.4521,1.6127
lig_53~lig_63,-0.8809,0.0499,-1.8219,0.2089
lig_32~lig_37,-2.5553,0.0904,-0.4569,0.5457
lig_32~lig_39,-2.5099,0.1296,0.2616,0.8529
lig_37~lig_65,-3.379,0.0908,-3.3734,0.7618
lig_37~lig_67,-1.7782,0.1833,-2.2664,0.4304
lig_60~lig_67,0.1244,0.1979,-3.5444,0.0818
lig_53~lig_67,1.2761,0.1495,-1.1472,0.1811
lig_39~lig_67,-1.8689,0.7006,-3.4025,0.8134
lig_34~lig_37,-1.0751,0.1471,-1.5598,0.6558
lig_53~lig_56,1.5382,0.123,1.6049,0.6064
lig_50~lig_58,-2.8165,0.1317,-2.038,0.7822
lig_33~lig_53,-4.2612,0.2297,-2.5684,0.5122
lig_37~lig_53,-2.4554,0.0623,-2.7161,0.2174
lig_50~lig_53,-2.2768,0.211,-2.3732,1.666
lig_61~lig_63,-2.7346,0.2703,-4.3983,0.9897
lig_63~lig_65,0.5134,0.1028,1.6555,1.3756
lig_33~lig_39,-0.9461,0.2788,-0.4672,1.0854
lig_27~lig_65,-5.6991,0.1274,-0.8767,1.2658
lig_27~lig_61,-2.1307,0.1865,0.6064,0.8874
lig_27~lig_60,-3.8147,0.3105,-1.5932,1.1296
lig_27~lig_34,-2.7607,0.3327,0.385,0.8125
lig_27~lig_67,-2.8154,0.1782,-4.1547,0.5476
lig_27~lig_50,-1.9839,0.2625,-2.3426,0.5145
lig_27~lig_63,-6.5488,0.1657,-3.1685,0.8878
lig_27~lig_56,-2.325,0.2642,-2.4341,0.6843
lig_37~lig_61,-0.3456,0.1482,3.2534,0.9475
lig_34~lig_53,-3.5365,0.2001,-4.6607,0.6554
lig_33~lig_50,-0.9366,0.1807,-0.4999,0.247
lig_32~lig_33,-0.844,0.0778,-2.8796,0.3546
lig_61~lig_67,-1.0313,0.1367,-4.1403,0.5074
lig_27~lig_58,-5.0867,0.1238,-5.4693,0.4591
lig_27~lig_37,-3.0697,0.2116,-2.3015,0.5626
lig_61~lig_65,-3.0198,0.1169,-4.2222,1.6201
lig_50~lig_56,-0.616,0.2962,0.2993,1.2622
lig_37~lig_63,-3.2057,0.1725,-4.0276,1.123
lig_34~lig_39,0.0715,0.0709,-0.1622,0.2747
lig_56~lig_60,-0.8583,0.0344,-0.1064,1.1674
