,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_53~lig_67,1.2761,0.1495,-1.1472,0.1811
lig_65~lig_67,1.9573,0.1528,-1.0034,0.509
lig_39~lig_67,-1.8689,0.7006,-3.4025,0.8134
lig_60~lig_67,0.1244,0.1979,-3.5444,0.0818
lig_33~lig_34,-0.7107,0.2618,2.1492,0.7977
lig_34~lig_37,-1.0751,0.1471,-1.5598,0.6558
lig_53~lig_56,1.5382,0.123,1.6049,0.6064
lig_50~lig_58,-2.8165,0.1317,-2.038,0.7822
lig_60~lig_65,-1.7399,0.0348,-1.9226,0.0622
lig_33~lig_53,-4.2612,0.2297,-2.5684,0.5122
lig_37~lig_53,-2.4554,0.0623,-2.7161,0.2174
lig_56~lig_58,-2.1527,0.1269,-2.3484,0.2067
lig_60~lig_61,1.231,0.1374,-0.2082,0.2845
lig_27~lig_39,-2.8241,0.325,-2.3133,0.4479
lig_50~lig_53,-2.2768,0.211,-2.3732,1.666
lig_61~lig_63,-2.7346,0.2703,-4.3983,0.9897
lig_63~lig_65,0.5134,0.1028,1.6555,1.3756
lig_33~lig_39,-0.9461,0.2788,-0.4672,1.0854
lig_32~lig_37,-2.5553,0.0904,-0.4569,0.5457
lig_27~lig_32,-0.3328,0.0615,-0.3209,0.5282
