,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_27~lig_39,-2.3133,0.4479,-0.9104573923536252,0.1328174542336723
lig_33~lig_34,2.1492,0.7977,0.006052450742468629,0.2612566286899177
lig_32~lig_34,-0.6107,0.4073,-0.2861895851415115,0.22466517675543873
lig_33~lig_67,-1.9716,0.772,-0.7057178933950325,0.17753077390466276
lig_33~lig_37,-0.8913,0.8067,-2.0784299641739308,0.3463731294839102
lig_65~lig_67,-1.0034,0.509,0.8264550174289331,0.19180381855063072
lig_27~lig_32,-0.3209,0.5282,-0.466650807725725,0.1672336872313416
lig_27~lig_33,-1.3994,0.1974,-0.7588928436097051,0.21388709763064065
lig_37~lig_50,-1.0074,0.1784,-0.37475214149988645,0.33326428555620574
lig_37~lig_56,-1.1572,0.6464,-0.30453445648557853,0.2999149984967986
lig_53~lig_58,-2.0649,0.4809,0.5569989886105464,0.19970021688704748
lig_56~lig_58,-2.3484,0.2067,-0.14982393063854893,0.05394670143602067
lig_60~lig_61,-0.2082,0.2845,0.835698013082073,0.23919113990605265
lig_60~lig_63,-2.2148,0.2696,-0.14716841944346726,0.09718811692331902
lig_60~lig_65,-1.9226,0.0622,0.5077816861353863,0.19167912020261121
lig_50~lig_61,-1.4521,1.6127,1.2489255217965383,0.2812087122182192
lig_53~lig_63,-1.8219,0.2089,0.9026643235057854,0.2171757832124157
lig_32~lig_37,-0.4569,0.5457,-2.370672000057911,0.3196775882676304
lig_32~lig_39,0.2616,0.8529,-0.44380658462790024,0.12789353557424024
lig_37~lig_65,-3.3734,0.7618,0.5462570533499651,0.35390093805455275
lig_37~lig_67,-2.2664,0.4304,1.3727120707788982,0.29874230583961836
lig_60~lig_67,-3.5444,0.0818,1.3342367035643194,0.027239244925782086
lig_53~lig_67,-1.1472,0.1811,2.384069446513572,0.19611671832598107
lig_39~lig_67,-3.4025,0.8134,-0.5541533446511124,0.0583948739140939
lig_34~lig_37,-1.5598,0.6558,-2.0844824149163994,0.35494339781098216
lig_53~lig_56,1.6049,0.6064,0.7068229192490953,0.19789847960991214
lig_50~lig_58,-2.038,0.7822,-0.07960624562424101,0.15500427187590904
lig_33~lig_53,-2.5684,0.5122,-3.0897873399086047,0.263038298992861
lig_37~lig_53,-2.7161,0.2174,-1.0113573757346739,0.35625684042870154
lig_50~lig_53,-2.3732,1.666,-0.6366052342347874,0.24551962433962052
lig_61~lig_63,-4.3983,0.9897,-0.9828664325255403,0.25683413851255643
lig_63~lig_65,1.6555,1.3756,0.6549501055788536,0.21328914275597163
lig_33~lig_39,-0.4672,1.0854,-0.1515645487439201,0.18476293142713576
lig_27~lig_65,-0.8767,1.2658,-2.2910657544336708,0.2258743448474704
lig_27~lig_61,0.6064,0.8874,-1.963149427486984,0.26737751578654434
lig_27~lig_60,-1.5932,1.1296,-2.798847440569057,0.12236213186193454
lig_27~lig_34,0.385,0.8125,-0.7528403928672365,0.22750420073920988
lig_27~lig_67,-4.1547,0.5476,-1.4646107370047377,0.1225573784100886
lig_27~lig_50,-2.3426,0.5145,-3.2120749492835223,0.19193339920834473
lig_27~lig_63,-3.1685,0.8878,-2.9460158600125244,0.1540255323306095
lig_27~lig_56,-2.4341,0.6843,-3.1418572642692144,0.12538880343841016
lig_37~lig_61,3.2534,0.9475,0.8741733802966518,0.38172947258995105
lig_34~lig_53,-4.6607,0.6554,-3.0958397906510733,0.27422548670425445
lig_33~lig_50,-0.4999,0.247,-2.4531821056738172,0.23094435349690773
lig_32~lig_33,-2.8796,0.3546,-0.2922420358839801,0.21086481647118144
lig_61~lig_67,-4.1403,0.5074,0.4985386904822464,0.23929108027361373
lig_27~lig_58,-5.4693,0.4591,-3.2916811949077633,0.12821357346449422
lig_27~lig_37,-2.3015,0.5626,-2.837322807783636,0.3216791571551424
lig_61~lig_65,-4.2222,1.6201,-0.3279163269466867,0.3053835780719608
lig_50~lig_56,0.2993,1.2622,0.07021768501430792,0.15267598339936025
lig_37~lig_63,-4.0276,1.123,-0.10869305222888848,0.31297047609214845
lig_34~lig_39,-0.1622,0.2747,-0.15761699948638874,0.2003691883765465
lig_56~lig_60,-0.1064,1.1674,0.3430098237001573,0.03800023011890004
