# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_61,-8.079861009576787,0.23846451103250474
lig_67,-7.58132231909454,0.019872042586042065
lig_39,-7.027168974443428,0.054909591356168866
lig_27,-6.116711582089803,0.12093557345219884
lig_60,-8.91555902265886,0.018630039924414435
lig_33,-6.875604425699508,0.17641507193731215
lig_53,-9.965391765608112,0.19510732720841298
lig_32,-6.583362389815528,0.1155062475313695
lig_58,-9.408392776997566,0.042582948398661565
lig_34,-6.869551974957039,0.1926985947737412
lig_37,-8.954034389873438,0.29808063879063096
lig_63,-9.062727442102327,0.09538580441300192
lig_65,-8.407777336523473,0.19077160882600377
lig_56,-9.258568846359017,0.033120070976736776
lig_50,-9.328786531373325,0.14904031939531548
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_61,lig_67,-4.1403,0.5074,0.0
lig_39,lig_67,-3.4025,0.8134,0.0
lig_27,lig_60,-1.5932,1.1296,0.0
lig_33,lig_53,-2.5684,0.5122,0.0
lig_27,lig_32,-0.3209,0.5282,0.0
lig_27,lig_58,-5.4693,0.4591,0.0
lig_27,lig_33,-1.3994,0.1974,0.0
lig_27,lig_34,0.385,0.8125,0.0
lig_27,lig_37,-2.3015,0.5626,0.0
lig_61,lig_63,-4.3983,0.9897,0.0
lig_27,lig_39,-2.3133,0.4479,0.0
lig_61,lig_65,-4.2222,1.6201,0.0
lig_37,lig_56,-1.1572,0.6464,0.0
lig_50,lig_56,0.2993,1.2622,0.0
lig_60,lig_61,-0.2082,0.2845,0.0
lig_37,lig_63,-4.0276,1.123,0.0
lig_53,lig_67,-1.1472,0.1811,0.0
lig_27,lig_65,-0.8767,1.2658,0.0
lig_50,lig_53,-2.3732,1.666,0.0
lig_50,lig_58,-2.038,0.7822,0.0
