# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_27,-6.116711582089803,0.12093557345219884
lig_39,-7.027168974443428,0.054909591356168866
lig_33,-6.875604425699508,0.17641507193731215
lig_34,-6.869551974957039,0.1926985947737412
lig_32,-6.583362389815528,0.1155062475313695
lig_67,-7.58132231909454,0.019872042586042065
lig_37,-8.954034389873438,0.29808063879063096
lig_65,-8.407777336523473,0.19077160882600377
lig_50,-9.328786531373325,0.14904031939531548
lig_56,-9.258568846359017,0.033120070976736776
lig_53,-9.965391765608112,0.19510732720841298
lig_58,-9.408392776997566,0.042582948398661565
lig_60,-8.91555902265886,0.018630039924414435
lig_61,-8.079861009576787,0.23846451103250474
lig_63,-9.062727442102327,0.09538580441300192
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_27,lig_39,-2.8241,0.325,0.0
lig_33,lig_34,-0.7107,0.2618,0.0
lig_32,lig_34,-1.0035,0.0973,0.0
lig_33,lig_67,-1.7651,0.2593,0.0
lig_33,lig_37,-1.3446,0.1422,0.0
lig_65,lig_67,1.9573,0.1528,0.0
lig_27,lig_32,-0.3328,0.0615,0.0
lig_27,lig_33,-1.0982,0.0627,0.0
lig_37,lig_50,0.6453,0.2093,0.0
lig_37,lig_56,-0.5551,0.0798,0.0
lig_53,lig_58,-0.6909,0.0485,0.0
lig_56,lig_58,-2.1527,0.1269,0.0
lig_60,lig_61,1.231,0.1374,0.0
lig_60,lig_63,-1.7355,0.0799,0.0
lig_60,lig_65,-1.7399,0.0348,0.0
lig_50,lig_61,-1.0087,0.042,0.0
lig_53,lig_63,-0.8809,0.0499,0.0
lig_32,lig_37,-2.5553,0.0904,0.0
lig_32,lig_39,-2.5099,0.1296,0.0
lig_37,lig_65,-3.379,0.0908,0.0
lig_37,lig_67,-1.7782,0.1833,0.0
lig_60,lig_67,0.1244,0.1979,0.0
lig_53,lig_67,1.2761,0.1495,0.0
lig_39,lig_67,-1.8689,0.7006,0.0
lig_34,lig_37,-1.0751,0.1471,0.0
lig_53,lig_56,1.5382,0.123,0.0
lig_50,lig_58,-2.8165,0.1317,0.0
lig_33,lig_53,-4.2612,0.2297,0.0
lig_37,lig_53,-2.4554,0.0623,0.0
lig_50,lig_53,-2.2768,0.211,0.0
lig_61,lig_63,-2.7346,0.2703,0.0
lig_63,lig_65,0.5134,0.1028,0.0
lig_33,lig_39,-0.9461,0.2788,0.0
lig_27,lig_65,-5.6991,0.1274,0.0
lig_27,lig_61,-2.1307,0.1865,0.0
lig_27,lig_60,-3.8147,0.3105,0.0
lig_27,lig_34,-2.7607,0.3327,0.0
lig_27,lig_67,-2.8154,0.1782,0.0
lig_27,lig_50,-1.9839,0.2625,0.0
lig_27,lig_63,-6.5488,0.1657,0.0
lig_27,lig_56,-2.325,0.2642,0.0
lig_37,lig_61,-0.3456,0.1482,0.0
lig_34,lig_53,-3.5365,0.2001,0.0
lig_33,lig_50,-0.9366,0.1807,0.0
lig_32,lig_33,-0.844,0.0778,0.0
lig_61,lig_67,-1.0313,0.1367,0.0
lig_27,lig_58,-5.0867,0.1238,0.0
lig_27,lig_37,-3.0697,0.2116,0.0
lig_61,lig_65,-3.0198,0.1169,0.0
lig_50,lig_56,-0.616,0.2962,0.0
lig_37,lig_63,-3.2057,0.1725,0.0
lig_34,lig_39,0.0715,0.0709,0.0
lig_56,lig_60,-0.8583,0.0344,0.0
