lig_0,lig_1,freenrg,error,engine,analysis
lig_33,lig_34,-0.6718 kcal/mol,0.2895 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_27,lig_39,-2.9699 kcal/mol,0.2389 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_32,lig_34,-0.9809 kcal/mol,0.1147 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_33,lig_67,-1.9801 kcal/mol,0.2620 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_33,lig_37,-1.3456 kcal/mol,0.1842 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_65,lig_67,1.9150 kcal/mol,0.1572 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_27,lig_32,-0.2651 kcal/mol,0.0626 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_27,lig_33,-1.0287 kcal/mol,0.0461 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_37,lig_50,0.6469 kcal/mol,0.2011 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_37,lig_56,-0.5591 kcal/mol,0.0894 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_53,lig_58,-0.6719 kcal/mol,0.0500 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_56,lig_58,-2.1765 kcal/mol,0.1117 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_60,lig_61,1.2846 kcal/mol,0.1598 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_60,lig_63,-1.7536 kcal/mol,0.1141 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
