lig_0,lig_1,freenrg,error,engine,analysis
lig_33,lig_34,-0.2383 kcal/mol,0.0844 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_27,lig_39,-0.7870 kcal/mol,0.1229 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_33,lig_67,-2.0928 kcal/mol,0.6873 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_32,lig_34,-2.5150 kcal/mol,0.0911 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_33,lig_37,-0.4517 kcal/mol,0.0804 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_27,lig_32,-0.4649 kcal/mol,0.1382 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_27,lig_33,-0.8692 kcal/mol,0.2236 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_37,lig_50,0.0010 kcal/mol,0.3750 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_37,lig_56,-0.2289 kcal/mol,0.1377 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_56,lig_58,-2.0490 kcal/mol,0.0424 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_53,lig_58,-0.7274 kcal/mol,0.1096 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_60,lig_61,1.0663 kcal/mol,0.1096 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_60,lig_63,-1.1175 kcal/mol,0.0584 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_60,lig_65,-1.2233 kcal/mol,0.0215 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_50,lig_61,-1.1270 kcal/mol,0.1689 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_53,lig_63,-0.6359 kcal/mol,0.0796 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_32,lig_37,-1.4721 kcal/mol,0.1149 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_32,lig_39,-1.4530 kcal/mol,0.2096 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_37,lig_65,-0.8362 kcal/mol,0.3336 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_60,lig_67,-0.5921 kcal/mol,0.2411 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_53,lig_67,0.8513 kcal/mol,0.1911 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_34,lig_37,-0.9371 kcal/mol,0.0680 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_53,lig_56,1.7265 kcal/mol,0.0604 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_50,lig_58,-2.7023 kcal/mol,0.6759 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_33,lig_53,-2.1655 kcal/mol,0.0663 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_63,lig_65,0.4813 kcal/mol,0.0722 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_27,lig_65,-3.2411 kcal/mol,0.1403 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_33,lig_39,0.0006 kcal/mol,0.2685 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
lig_27,lig_61,-2.1972 kcal/mol,0.1121 kcal/mol,AMBER,MBAR_alchemlyb_None_eqtrue_statstrue_truncate0_100
