lig_0,lig_1,freenrg,error,lower_ci,upper_ci,CI,engine,analysis,method
lig_27,lig_39,-1.0023 kcal/mol,0.0885 kcal/mol,nan,nan,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_33,lig_34,-0.4470 kcal/mol,0.0559 kcal/mol,nan,nan,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_32,lig_34,-2.0824 kcal/mol,0.0577 kcal/mol,-2.8151360702408734,-1.349686474830503,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_33,lig_67,-2.0700 kcal/mol,0.4940 kcal/mol,-8.347290987091206,4.207250532416033,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_33,lig_37,-0.5142 kcal/mol,0.0504 kcal/mol,nan,nan,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_27,lig_32,-0.5612 kcal/mol,0.1239 kcal/mol,-1.0943676959943804,-0.028072378525051955,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_27,lig_33,-1.1080 kcal/mol,0.0557 kcal/mol,-1.8155680073262992,-0.4004704663396137,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_37,lig_50,0.1384 kcal/mol,0.2435 kcal/mol,-2.9557064793118286,3.2325317709770154,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_37,lig_56,-0.2926 kcal/mol,0.0947 kcal/mol,-0.6999411460994045,0.11476110801396633,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_53,lig_58,-1.0094 kcal/mol,0.0603 kcal/mol,nan,nan,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_56,lig_58,-2.0654 kcal/mol,0.0230 kcal/mol,nan,nan,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_60,lig_61,1.0334 kcal/mol,0.0939 kcal/mol,0.6291702038399265,1.4375524661613586,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_60,lig_63,-1.2946 kcal/mol,0.0335 kcal/mol,-1.4385425387868458,-1.1506621401296493,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_60,lig_65,-1.1798 kcal/mol,0.0553 kcal/mol,-1.8821432161845708,-0.4775397752168685,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_50,lig_61,-1.0787 kcal/mol,0.1784 kcal/mol,-3.3448686159618104,1.1875607946569338,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_53,lig_63,-0.6880 kcal/mol,0.0669 kcal/mol,nan,nan,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_32,lig_37,-1.4644 kcal/mol,0.0830 kcal/mol,nan,nan,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_32,lig_39,-1.1771 kcal/mol,0.0443 kcal/mol,-1.3677539368896108,-0.9863928847313561,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_37,lig_65,-1.4206 kcal/mol,0.1036 kcal/mol,-1.8663209488203882,-0.9749392038266709,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_60,lig_67,-0.8251 kcal/mol,0.1772 kcal/mol,-3.0768838281013076,1.4266524448439726,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
lig_53,lig_67,0.6872 kcal/mol,0.1289 kcal/mol,0.1325007643546786,1.241956606153873,0.95,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100,None
