,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_2b~lig_2h,1.945,0.8903,1.945,0.8903
lig_2d~lig_2v,1.9112,0.2257,1.9112,0.2257
lig_2c~lig_2e,2.7003,0.6349,2.7003,0.6349
lig_2c~lig_2f,3.5189,0.8976,3.5189,0.8976
lig_2d~lig_2w,-0.1901,0.1905,-0.1901,0.1905
lig_2x~lig_2y,-0.0082,0.4899,-0.0082,0.4899
lig_2a~lig_2w,0.4977,0.5679,0.4977,0.5679
lig_2e~lig_2v,0.1647,0.6373,0.1647,0.6373
lig_2j~lig_2v,1.6515,0.2561,1.6515,0.2561
lig_2v~lig_2x,-1.6182,0.2398,-1.6182,0.2398
lig_2hh~lig_2w,2.0465,0.0359,2.0465,0.0359
lig_2ii~lig_2w,1.0956,0.2582,1.0956,0.2582
lig_2k~lig_2q,-3.9423,0.3069,-3.9423,0.3069
lig_2q~lig_2u,1.359,0.1348,1.359,0.1348
lig_2bb~lig_2z,0.5432,0.3155,0.5432,0.3155
lig_2p~lig_2s,0.1935,0.3831,0.1935,0.3831
lig_2y~lig_2z,-0.0242,0.2209,-0.0242,0.2209
lig_2n~lig_2o,0.2492,0.2287,0.2492,0.2287
lig_2bb~lig_2v,1.1999,0.2571,1.1999,0.2571
lig_2n~lig_2p,-0.7528,0.3475,-0.7528,0.3475
lig_2ee~lig_2l,-1.1754,0.2021,-1.1754,0.2021
lig_2ff~lig_2gg,0.5002,0.0331,0.5002,0.0331
lig_2gg~lig_2j,0.1679,0.1332,0.1679,0.1332
lig_2aa~lig_2v,1.3437,0.6237,1.3437,0.6237
lig_2b~lig_2w,1.036,0.6687,1.036,0.6687
lig_2dd~lig_2w,2.2134,0.7551,2.2134,0.7551
lig_2ee~lig_2j,1.2743,0.1081,1.2743,0.1081
lig_2l~lig_2o,-0.1845,0.2667,-0.1845,0.2667
lig_2v~lig_2y,-1.8376,0.188,-1.8376,0.188
lig_2k~lig_2m,-2.7682,0.0946,-2.7682,0.0946
lig_2n~lig_2r,0.5966,0.1533,0.5966,0.1533
lig_2j~lig_2t,-3.4065,0.1396,-3.4065,0.1396
lig_2l~lig_2t,-0.9441,0.0327,-0.9441,0.0327
lig_2a~lig_2d,0.8477,0.0499,0.8477,0.0499
lig_2aa~lig_2z,0.3926,0.119,0.3926,0.119
lig_2e~lig_2f,-0.6942,0.0317,-0.6942,0.0317
lig_2f~lig_2g,-0.9166,0.0745,-0.9166,0.0745
lig_2ff~lig_2j,1.009,0.1575,1.009,0.1575
lig_2hh~lig_2ii,0.187,0.0085,0.187,0.0085
lig_2k~lig_2l,-3.3878,0.1835,-3.3878,0.1835
lig_2l~lig_2n,-0.2772,0.1152,-0.2772,0.1152
lig_2r~lig_2s,-1.4677,0.2335,-1.4677,0.2335
lig_2e~lig_2j,1.3235,0.1142,1.3235,0.1142
lig_2j~lig_2k,0.6867,0.078,0.6867,0.078
lig_2i~lig_2j,0.2132,0.0885,0.2132,0.0885
lig_2n~lig_2s,0.7735,0.1612,0.7735,0.1612
lig_2g~lig_2h,1.4349,0.0606,1.4349,0.0606
lig_2g~lig_2i,1.1338,0.1074,1.1338,0.1074
lig_2h~lig_2i,-0.949,0.0494,-0.949,0.0494
lig_2k~lig_2u,-3.3467,0.7515,-3.3467,0.7515
lig_2u~lig_2x,,,,
lig_2l~lig_2q,-2.3978,0.4389,-2.3978,0.4389
lig_2ee~lig_2w,1.0578,0.2681,1.0578,0.2681
lig_2ee~lig_2v,2.8537,0.2839,2.8537,0.2839
lig_2e~lig_2q,-5.376,0.4853,-5.376,0.4853
lig_2b~lig_2l,1.4472,0.5656,1.4472,0.5656
lig_2b~lig_2z,1.0046,1.1101,1.0046,1.1101
lig_2a~lig_2p,-1.0557,0.163,-1.0557,0.163
lig_2p~lig_2t,-0.1336,0.6203,-0.1336,0.6203
lig_2bb~lig_2w,0.1017,0.349,0.1017,0.349
lig_2ii~lig_2v,2.4034,0.1794,2.4034,0.1794
lig_2m~lig_2x,2.7473,0.4968,2.7473,0.4968
lig_2l~lig_2m,0.0631,0.0444,0.0631,0.0444
lig_2g~lig_2v,3.2825,0.1262,3.2825,0.1262
lig_2gg~lig_2v,1.9197,0.2625,1.9197,0.2625
lig_2t~lig_2x,3.3344,0.095,3.3344,0.095
lig_2l~lig_2x,2.7577,0.4683,2.7577,0.4683
lig_2d~lig_2s,-1.7787,0.1413,-1.7787,0.1413
lig_2w~lig_2y,-0.9672,0.3516,-0.9672,0.3516
lig_2e~lig_2r,-2.5663,0.054,-2.5663,0.054
lig_2a~lig_2n,-1.2781,0.2857,-1.2781,0.2857
lig_2n~lig_2t,0.063,0.1806,0.063,0.1806
lig_2gg~lig_2k,1.1081,0.0891,1.1081,0.0891
lig_2a~lig_2k,1.8692,0.0672,1.8692,0.0672
lig_2v~lig_2w,-1.7928,0.1169,-1.7928,0.1169
lig_2gg~lig_2l,-2.3786,0.1958,-2.3786,0.1958
lig_2dd~lig_2hh,-0.0519,0.3503,-0.0519,0.3503
lig_2dd~lig_2i,3.0028,0.9757,3.0028,0.9757
lig_2ff~lig_2h,1.2598,0.0987,1.2598,0.0987
lig_2ff~lig_2hh,-1.6146,0.2453,-1.6146,0.2453
lig_2e~lig_2h,0.8971,0.065,0.8971,0.065
lig_2a~lig_2gg,0.4877,0.3113,0.4877,0.3113
lig_2d~lig_2gg,-0.2583,0.2359,-0.2583,0.2359
lig_2dd~lig_2gg,1.8527,0.2259,1.8527,0.2259
lig_2e~lig_2gg,-1.0225,0.105,-1.0225,0.105
lig_2f~lig_2gg,1.2618,0.5109,1.2618,0.5109
lig_2ff~lig_2g,-0.2966,0.0887,-0.2966,0.0887
lig_2aa~lig_2b,-0.7791,0.7634,-0.7791,0.7634
lig_2aa~Intermediate_2,-0.4289,0.188,-0.4289,0.188
lig_2bb~lig_2dd,-1.6909,0.1215,-1.6909,0.1215
lig_2c~Intermediate,10.9443,0.6787,10.9443,0.6787
lig_2c~Intermediate_3,1.2206,0.16,1.2206,0.16
lig_2e~lig_2a,-1.4788,0.0372,-1.4788,0.0372
lig_2e~lig_2d,-0.5404,0.0631,-0.5404,0.0631
lig_2ee~lig_2a,-0.0003,0.2068,-0.0003,0.2068
lig_2f~lig_2d,-0.034,0.0726,-0.034,0.0726
lig_2ff~lig_2a,0.0959,0.1282,0.0959,0.1282
lig_2g~lig_2d,0.928,0.0154,0.928,0.0154
lig_2gg~lig_2a,-0.6974,0.0699,-0.6974,0.0699
lig_2j~lig_2m,-2.7234,0.1405,-2.7234,0.1405
lig_2j~Intermediate_4,-3.9652,0.2737,-3.9652,0.2737
lig_2k~lig_2a,-1.71,0.0557,-1.71,0.0557
lig_2m~lig_2a,1.6459,0.3091,1.6459,0.3091
lig_2n~lig_2a,1.2004,0.1417,1.2004,0.1417
lig_2o~lig_2a,1.9445,0.1276,1.9445,0.1276
lig_2p~lig_2a,1.4783,0.1736,1.4783,0.1736
lig_2q~Intermediate_1,0.3319,0.0535,0.3319,0.0535
lig_2q~Intermediate_4,0.8161,0.072,0.8161,0.072
lig_2t~lig_2a,2.7622,0.1196,2.7622,0.1196
lig_2u~Intermediate_4,-0.2628,0.2334,-0.2628,0.2334
lig_2v~lig_2a,-2.0441,0.189,-2.0441,0.189
lig_2v~Intermediate_10,-0.6017,0.2661,-0.6017,0.2661
lig_2x~Intermediate_7,-1.1788,0.1347,-1.1788,0.1347
lig_2y~lig_2w,0.9831,0.2736,0.9831,0.2736
lig_2y~Intermediate_10,1.8008,0.1761,1.8008,0.1761
lig_2z~lig_2w,0.8844,0.2085,0.8844,0.2085
lig_2a~Intermediate_4,-3.1847,0.2725,-3.1847,0.2725
lig_2b~Intermediate_2,0.857,0.3533,0.857,0.3533
lig_2w~Intermediate_10,0.4369,0.0565,0.4369,0.0565
lig_2d~Intermediate,8.7261,0.1147,8.7261,0.1147
lig_2d~Intermediate_5,4.0199,0.5245,4.0199,0.5245
lig_2d~Intermediate_8,2.6625,0.2419,2.6625,0.2419
lig_2ii~lig_2hh,-0.0877,0.0141,-0.0877,0.0141
lig_2ii~Intermediate_6,1.0557,0.0852,1.0557,0.0852
lig_2hh~Intermediate_10,3.1296,0.1465,3.1296,0.1465
