# Experimental block
# Ligand,expt_DDG,expt_dDDG
lig_2aa,-9.74951302295865,0.2528025670755984
lig_2z,-10.848667021595693,0.19077160882600383
lig_2b,-11.194332356490932,0.08516589679732313
lig_2bb,-9.544089714349559,0.19782930287449946
lig_2dd,-10.435439512881228,0.23846451103250474
lig_2w,-11.941181128295625,0.044712095818594644
lig_2c,-10.952609759626544,0.2838863226577438
lig_2e,-11.194332356490932,0.2554976903919694
lig_2a,-11.39492407494566,0.23846451103250477
lig_2d,-9.987474337456305,0.2024698678577871
lig_2ee,-12.767636145724557,0.35769676654875715
lig_2j,-10.568469057516726,0.16394435133484703
lig_2f,-8.960026010935982,0.21176772654822604
lig_2g,-11.153201478081272,0.23846451103250477
lig_2ff,-11.941181128295625,0.08942419163718929
lig_2gg,-11.153201478081272,0.07948817034416826
lig_2h,-9.959996604102658,0.18797878121931683
lig_2i,-10.539382250912077,0.21291474199330784
lig_2k,-11.044508425852383,0.09936021293021031
lig_2m,-11.457735934566848,0.06624014195347354
lig_2l,-12.767636145724557,0.05961612775812619
lig_2o,-10.981696566231191,0.11923225551625238
lig_2t,-12.35440863701009,0.08942419163718929
lig_2n,-12.35440863701009,0.14904031939531548
lig_2p,-11.699458531431237,0.04968010646510516
lig_2r,-11.28623102271677,0.09936021293021031
lig_2q,-12.767636145724557,0.11923225551625238
lig_2u,-12.767636145724557,0.05961612775812619
lig_2v,-9.452573080355686,0.1719695993022871
lig_2x,-10.720425946700987,0.15384807163387404
lig_2y,-10.260961221911936,0.23134616741959418
lig_2ii,-11.338103836387013,0.7551276822483054
lig_2hh,-12.35440863701009,0.20865644715344167
 
# Calculated block
# Ligand1,Ligand2,calc_DDG,calc_dDDG(MBAR),calc_dDDG(additional)
lig_2aa,lig_2b,-2.0677,0.6044,0.0
lig_2bb,lig_2dd,-1.4155,0.0499,0.0
lig_2bb,lig_2w,-0.6081,0.3184,0.0
lig_2c,Intermediate,8.0726,0.4241,0.0
lig_2c,Intermediate_3,0.5344,0.0452,0.0
lig_2e,lig_2a,-1.1704,0.082,0.0
lig_2e,lig_2d,-0.1474,0.0274,0.0
lig_2ee,lig_2j,3.2329,0.1503,0.0
lig_2ee,lig_2a,0.2939,0.0859,0.0
lig_2f,lig_2g,0.075,0.0615,0.0
lig_2f,lig_2d,0.2284,0.0729,0.0
lig_2ff,lig_2gg,1.0459,0.1199,0.0
lig_2ff,lig_2a,-1.7345,0.1511,0.0
lig_2g,lig_2h,0.2997,0.0649,0.0
lig_2g,lig_2i,-0.1146,0.1129,0.0
lig_2g,lig_2d,1.1083,0.025,0.0
lig_2gg,lig_2a,-2.2682,1.7189,0.0
lig_2h,lig_2i,-0.8152,0.023,0.0
lig_2j,lig_2k,2.0602,0.1276,0.0
lig_2j,lig_2m,-0.5706,0.2422,0.0
lig_2j,Intermediate_4,-0.9748,0.2477,0.0
lig_2k,lig_2a,-1.5819,0.202,0.0
lig_2l,lig_2o,1.5442,0.1871,0.0
lig_2l,lig_2t,-0.1121,0.2624,0.0
lig_2m,lig_2a,0.5792,0.0817,0.0
lig_2n,lig_2p,2.3149,0.079,0.0
lig_2n,lig_2r,0.5167,0.1473,0.0
lig_2n,lig_2a,1.4203,0.0579,0.0
lig_2o,lig_2a,0.5535,0.1164,0.0
lig_2p,lig_2a,0.8528,0.151,0.0
lig_2q,Intermediate_1,-1.0361,0.0784,0.0
lig_2q,Intermediate_4,0.0644,0.0764,0.0
lig_2t,lig_2a,0.6446,0.3704,0.0
lig_2u,Intermediate_4,-1.3401,0.1477,0.0
lig_2v,lig_2x,-0.7075,0.1905,0.0
lig_2v,lig_2a,-2.0069,0.5109,0.0
lig_2v,Intermediate_10,-1.3531,0.2399,0.0
lig_2x,Intermediate_7,1.4798,0.0817,0.0
lig_2y,lig_2w,-0.1463,0.1098,0.0
lig_2y,Intermediate_10,0.4914,0.1152,0.0
lig_2z,lig_2w,-0.9935,0.3008,0.0
lig_2a,Intermediate_4,-1.7212,0.1775,0.0
lig_2dd,lig_2w,0.8094,0.1461,0.0
lig_2b,Intermediate_2,-0.9632,0.0803,0.0
lig_2w,Intermediate_10,0.434,0.2884,0.0
lig_2d,Intermediate,5.5759,0.2362,0.0
lig_2d,Intermediate_5,4.3353,0.0935,0.0
lig_2d,Intermediate_8,2.1805,0.4423,0.0
lig_2ii,lig_2hh,-0.1277,0.0026,0.0
lig_2ii,Intermediate_6,1.0426,0.084,0.0
lig_2hh,Intermediate_10,2.0796,0.2258,0.0
Intermediate,Intermediate_3,-3.6328,0.0697,0.0
Intermediate,Intermediate_5,-0.7631,0.1359,0.0
Intermediate_1,Intermediate_4,-0.5445,0.1328,0.0
Intermediate_2,Intermediate_10,0.4646,0.0523,0.0
Intermediate_6,Intermediate_10,2.132,0.4775,0.0
Intermediate_7,Intermediate_8,0.6131,0.0422,0.0
Intermediate_8,Intermediate_10,-2.1539,0.1975,0.0
