lig_0,lig_1,freenrg,error,engine,analysis
lig_2d,lig_2v,1.3109 kcal/mol,0.6133 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2c,lig_2e,4.0987 kcal/mol,0.2455 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2c,lig_2f,3.8404 kcal/mol,0.1748 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2b,lig_2h,2.0887 kcal/mol,0.1574 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2x,lig_2y,-0.0927 kcal/mol,0.4211 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2d,lig_2w,-1.5897 kcal/mol,0.1963 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2a,lig_2w,-1.5511 kcal/mol,0.3198 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2e,lig_2v,0.9418 kcal/mol,0.9246 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2v,lig_2x,-0.9251 kcal/mol,0.1792 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2j,lig_2v,2.6938 kcal/mol,0.2997 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2hh,lig_2w,1.2621 kcal/mol,0.3183 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2ii,lig_2w,0.9699 kcal/mol,0.2729 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2q,lig_2u,-0.4051 kcal/mol,0.2919 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2bb,lig_2z,0.0250 kcal/mol,0.5721 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2p,lig_2s,-2.7582 kcal/mol,0.7180 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2y,lig_2z,-0.0269 kcal/mol,0.1003 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2n,lig_2o,2.1683 kcal/mol,0.3136 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2bb,lig_2v,0.9152 kcal/mol,0.1508 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2n,lig_2p,3.3907 kcal/mol,0.1439 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2ee,lig_2l,-0.8301 kcal/mol,0.0367 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2ff,lig_2gg,1.1636 kcal/mol,0.0978 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2gg,lig_2j,1.3008 kcal/mol,0.1781 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2b,lig_2w,-0.4937 kcal/mol,1.5139 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2aa,lig_2v,0.8046 kcal/mol,0.3720 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2dd,lig_2w,0.2995 kcal/mol,0.4038 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2ee,lig_2j,3.5907 kcal/mol,0.1180 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2l,lig_2o,1.3991 kcal/mol,0.2779 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2v,lig_2y,-1.2784 kcal/mol,0.1932 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2k,lig_2m,-1.0421 kcal/mol,0.2886 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2j,lig_2t,-0.1865 kcal/mol,0.3183 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2n,lig_2r,0.0717 kcal/mol,0.2945 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2aa,lig_2z,nan,nan,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2l,lig_2t,-0.6062 kcal/mol,0.1360 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2a,lig_2d,0.9508 kcal/mol,0.0529 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2f,lig_2g,-0.0091 kcal/mol,0.2387 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2hh,lig_2ii,0.1354 kcal/mol,0.0212 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_2ff,lig_2j,-0.1939 kcal/mol,0.6606 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
