ligand,freenrg,error,engine,analysis,method
lig_2a,-0.25823529411764706,0.052764705882352936,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2aa,0.8347647058823529,0.10076470588235292,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2b,-0.559235294117647,0.37276470588235294,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2bb,1.037764705882353,0.019764705882352962,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2c,-2.4582352941176473,0.293764705882353,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2d,0.5547647058823528,0.010764705882352954,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2dd,-1.886235294117647,0.589764705882353,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2e,0.7637647058823529,-0.09023529411764705,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2ee,0.2127647058823529,-0.08123529411764707,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2f,0.5377647058823529,-0.08323529411764707,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2ff,0.5687647058823528,-0.07223529411764706,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2g,-0.04723529411764707,-0.08823529411764705,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2gg,1.178764705882353,-0.08123529411764707,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2h,1.8397647058823527,-0.09123529411764705,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2hh,-1.339235294117647,0.12076470588235294,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2i,1.1127647058823529,-0.10223529411764706,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2ii,-1.119235294117647,0.12276470588235294,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2j,1.5147647058823528,-0.12323529411764705,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2k,2.289764705882353,-0.09323529411764706,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2l,-1.0042352941176471,-0.10523529411764707,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2m,-0.4782352941176471,-0.06923529411764706,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2n,-1.3082352941176472,-0.07923529411764707,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2o,-1.113235294117647,-0.03323529411764706,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2p,-1.6122352941176472,0.04976470588235293,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2q,-1.652235294117647,0.06776470588235295,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2r,0.05976470588235294,-0.004235294117647059,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2s,-0.862235294117647,-0.03823529411764706,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2t,-1.9292352941176472,-0.10423529411764706,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2u,-0.29323529411764704,0.09776470588235292,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2v,2.381764705882353,-0.060235294117647054,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2w,0.3267647058823529,0.10176470588235292,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2x,0.7697647058823529,0.03276470588235292,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2y,0.7787647058823528,0.022764705882352965,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_2z,1.1577647058823528,0.03776470588235292,SOMD,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
