lig_0,lig_1,freenrg,error,lower_ci,upper_ci,CI,engine,analysis,method
lig_2b,lig_2h,1.9878 kcal/mol,0.8502 kcal/mol,-1.6700993380519438,5.645705743379597,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2d,lig_2v,1.9490 kcal/mol,0.2080 kcal/mol,1.0538917355296227,2.8440817995287895,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2c,lig_2e,2.7516 kcal/mol,0.6361 kcal/mol,0.014718899061538782,5.488474653550629,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2c,lig_2f,3.2302 kcal/mol,0.9261 kcal/mol,-0.7543769128541649,7.21486706863517,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2d,lig_2w,-0.2334 kcal/mol,0.2846 kcal/mol,-1.458031369978121,0.9913221007778912,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2x,lig_2y,-0.0455 kcal/mol,0.5160 kcal/mol,-2.265528509804967,2.1745654010904536,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2a,lig_2w,0.5258 kcal/mol,0.5183 kcal/mol,-1.7044831262379017,2.756027935779846,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2e,lig_2v,0.0602 kcal/mol,0.6926 kcal/mol,-2.9195958622282885,3.0400859202450445,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2j,lig_2v,1.7011 kcal/mol,0.1307 kcal/mol,1.1386010644687972,2.263665302516263,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2v,lig_2x,-1.5931 kcal/mol,0.2470 kcal/mol,-2.6556618174818136,-0.530449097041052,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2hh,lig_2w,1.9607 kcal/mol,0.0986 kcal/mol,1.5366051008619692,2.384744749403989,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2ii,lig_2w,1.1572 kcal/mol,0.1593 kcal/mol,0.47192046978770186,1.8424386021741848,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2k,lig_2q,-3.6298 kcal/mol,0.2210 kcal/mol,-4.5806419634369595,-2.678952688666438,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2q,lig_2u,1.3061 kcal/mol,0.1712 kcal/mol,0.5694881438138788,2.042717164601931,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2bb,lig_2z,0.3073 kcal/mol,0.2120 kcal/mol,-0.6048998158318265,1.2194599419596823,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2p,lig_2s,0.1463 kcal/mol,0.3287 kcal/mol,-1.2680709435825208,1.5606839742914844,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2y,lig_2z,-0.1483 kcal/mol,0.2283 kcal/mol,-1.1304368762818628,0.8337683129522377,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2n,lig_2o,0.2271 kcal/mol,0.2910 kcal/mol,-1.0250759256970958,1.4793685046584677,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2bb,lig_2v,1.3329 kcal/mol,0.2100 kcal/mol,0.4291834022838338,2.23667571194479,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2n,lig_2p,-0.6008 kcal/mol,0.3392 kcal/mol,-2.0602476041988695,0.8587046523174906,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2ee,lig_2l,-1.1860 kcal/mol,0.2622 kcal/mol,-2.3142999189597195,-0.057789422300437376,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2ff,lig_2gg,0.5475 kcal/mol,0.0397 kcal/mol,0.3768096035997044,0.7181894087866028,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2gg,lig_2j,0.1282 kcal/mol,0.1188 kcal/mol,-0.3827981501740788,0.6391672649792889,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2aa,lig_2v,1.0097 kcal/mol,0.7232 kcal/mol,-2.10218622213128,4.121514501965649,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2b,lig_2w,0.9793 kcal/mol,0.6306 kcal/mol,-1.733865537986719,3.6924380891734243,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2dd,lig_2w,2.0878 kcal/mol,0.7326 kcal/mol,-1.0642071649183702,5.239756619109668,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2ee,lig_2j,1.3154 kcal/mol,0.1322 kcal/mol,0.7464976608165202,1.8842043254715426,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2l,lig_2o,-0.2470 kcal/mol,0.3004 kcal/mol,-1.5394254332795596,1.045354095389014,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2v,lig_2y,-1.7562 kcal/mol,0.1775 kcal/mol,-2.5200829397658064,-0.9922489180387973,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2k,lig_2m,-2.9780 kcal/mol,0.1370 kcal/mol,-3.56728740741522,-2.388695572054546,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2n,lig_2r,0.8013 kcal/mol,0.1361 kcal/mol,0.21555258482918904,1.3871390420295964,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2j,lig_2t,-3.4022 kcal/mol,0.1948 kcal/mol,-4.240416312457383,-2.564073790918571,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2l,lig_2t,-0.9148 kcal/mol,0.0515 kcal/mol,-1.136212955614658,-0.6934195609839923,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2a,lig_2d,0.9238 kcal/mol,0.0433 kcal/mol,0.7373747533468122,1.110222807832166,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2aa,lig_2z,0.4909 kcal/mol,0.1753 kcal/mol,-0.26326186671217267,1.2450793824267117,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2e,lig_2f,-0.7033 kcal/mol,0.0304 kcal/mol,-0.8339929644652542,-0.5725617965545582,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2f,lig_2g,-0.9211 kcal/mol,0.0778 kcal/mol,-1.2559284447780532,-0.586311195745733,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2ff,lig_2j,0.9693 kcal/mol,0.1551 kcal/mol,0.30184461976923305,1.6366858872182857,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2hh,lig_2ii,0.1765 kcal/mol,0.0122 kcal/mol,0.1241438236999163,0.22885275319185636,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2k,lig_2l,-3.4151 kcal/mol,0.1594 kcal/mol,-4.10111912005395,-2.729034805964945,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2l,lig_2n,-0.3170 kcal/mol,0.0806 kcal/mol,-0.6639352620351266,0.02998953943860827,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2r,lig_2s,-1.3742 kcal/mol,0.3264 kcal/mol,-2.778684265482598,0.030383461173260073,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2e,lig_2j,1.2637 kcal/mol,0.1155 kcal/mol,0.7666777234968973,1.760748010064859,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_2j,lig_2k,0.6905 kcal/mol,0.0676 kcal/mol,0.39973403813113484,0.9813248720883058,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
