lig_0,lig_1,freenrg,error,engine,analysis
lig_CHEMBL3264999,lig_CHEMBL3265002,0.1467 kcal/mol,0.1717 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3264999,lig_CHEMBL3265004,-0.5187 kcal/mol,0.2897 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3259820,lig_CHEMBL3264999,-0.2579 kcal/mol,1.3834 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3264999,lig_CHEMBL3265005,3.1648 kcal/mol,0.3981 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3259820,lig_CHEMBL3265026,-1.3482 kcal/mol,0.2624 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3259820,lig_CHEMBL3265016,-0.1316 kcal/mol,0.3629 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3259820,lig_CHEMBL3265017,-0.7950 kcal/mol,0.5622 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265028,lig_CHEMBL3265036,-0.3625 kcal/mol,0.3691 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265005,lig_CHEMBL3265026,-1.2970 kcal/mol,0.2039 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265028,lig_CHEMBL3265030,-0.6116 kcal/mol,0.4420 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265027,lig_CHEMBL3265036,-0.7459 kcal/mol,0.2647 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265005,lig_CHEMBL3265014,-1.1157 kcal/mol,0.5534 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3259820,lig_CHEMBL3265005,1.5610 kcal/mol,0.8772 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265024,lig_CHEMBL3265025,0.4710 kcal/mol,0.9015 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265027,lig_CHEMBL3265030,-0.8774 kcal/mol,0.4072 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265027,lig_CHEMBL3265034,-0.9904 kcal/mol,0.3916 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265028,lig_CHEMBL3265037,-0.8547 kcal/mol,0.2519 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265027,lig_CHEMBL3265035,-0.7689 kcal/mol,0.3697 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265033,lig_CHEMBL3265034,1.7376 kcal/mol,0.6697 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265032,lig_CHEMBL3265033,-0.6312 kcal/mol,0.2287 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265029,lig_CHEMBL3265035,-0.7316 kcal/mol,0.1836 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265031,lig_CHEMBL3265034,-0.2426 kcal/mol,0.5551 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265025,lig_CHEMBL3265026,-1.3967 kcal/mol,0.1707 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265024,lig_CHEMBL3265026,-0.8753 kcal/mol,0.2911 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265031,lig_CHEMBL3265032,0.0474 kcal/mol,0.4077 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265002,lig_CHEMBL3265004,-0.4000 kcal/mol,0.1081 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265006,lig_CHEMBL3265009,-0.2449 kcal/mol,0.2523 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265012,lig_CHEMBL3265013,0.2604 kcal/mol,0.2758 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265017,lig_CHEMBL3265028,0.9240 kcal/mol,0.1341 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265017,lig_CHEMBL3265029,0.1120 kcal/mol,0.1091 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265032,lig_CHEMBL3265037,-0.1975 kcal/mol,0.2948 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3264996,lig_CHEMBL3264999,0.1642 kcal/mol,0.4096 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265008,lig_CHEMBL3265010,-0.3759 kcal/mol,0.0522 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265009,lig_CHEMBL3265010,-0.1300 kcal/mol,0.1023 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265012,lig_CHEMBL3265014,-0.1800 kcal/mol,0.0526 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265019,lig_CHEMBL3265022,0.1981 kcal/mol,0.6392 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265020,lig_CHEMBL3265023,0.3496 kcal/mol,0.3083 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3259820,lig_CHEMBL3265013,0.1265 kcal/mol,0.2460 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265005,lig_CHEMBL3265006,-0.8599 kcal/mol,0.1295 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265005,lig_CHEMBL3265009,-0.1992 kcal/mol,0.1627 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265021,lig_CHEMBL3265023,-0.6999 kcal/mol,0.4615 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265017,lig_CHEMBL3265022,-0.5419 kcal/mol,0.4349 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265008,lig_CHEMBL3265009,-0.0634 kcal/mol,0.1332 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265017,lig_CHEMBL3265021,0.8006 kcal/mol,0.2135 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265016,lig_CHEMBL3265017,0.0496 kcal/mol,0.1087 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265016,lig_CHEMBL3265018,-0.2673 kcal/mol,0.0233 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265018,lig_CHEMBL3265020,1.8518 kcal/mol,0.1845 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265019,lig_CHEMBL3265021,2.2066 kcal/mol,0.2088 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
lig_CHEMBL3265020,lig_CHEMBL3265021,0.0795 kcal/mol,0.2053 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_25
