ligand,freenrg,error,engine,analysis,method
lig_CHEMBL3259820,0.4984571428571429,0.7734571428571428,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3264996,-2.2295428571428575,1.1824571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3264999,-2.244542857142857,0.899457142857143,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265002,-1.844542857142857,0.9134571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265004,-2.676542857142857,0.9074571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265005,0.9424571428571429,0.9304571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265006,0.5294571428571428,0.9704571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265008,0.901457142857143,0.9664571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265009,0.6584571428571429,0.9504571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265010,0.6144571428571429,0.9874571428571428,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265012,0.40345714285714285,0.7524571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265013,0.5214571428571428,0.7564571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265014,0.23845714285714287,0.7364571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265016,0.22845714285714286,0.7834571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265017,0.15745714285714285,0.7514571428571428,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265018,-0.14554285714285714,0.776457142857143,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265019,-0.6605428571428571,0.9414571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265020,1.242457142857143,0.7864571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265021,1.3364571428571428,0.7944571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265022,-0.3235428571428571,0.7944571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265023,0.9284571428571429,0.8244571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265024,0.06945714285714288,1.087457142857143,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265025,1.1324571428571428,1.0804571428571428,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265026,-0.10954285714285711,1.0734571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265027,0.8034571428571429,0.9274571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265028,0.3404571428571429,0.7524571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265029,0.28645714285714285,0.7854571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265030,0.5114571428571428,0.9184571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265031,-0.29854285714285717,1.1544571428571428,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265032,-0.4815428571428571,1.058457142857143,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265033,-1.074542857142857,1.1444571428571428,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265034,0.06345714285714288,1.2494571428571428,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265035,-0.2115428571428571,0.8874571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265036,0.15745714285714285,0.8764571428571428,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
lig_CHEMBL3265037,-0.26554285714285714,0.9154571428571429,AMBER,MBAR_alchemlyb_None_eqfalse_stats_false_truncate0_100,mbarnet
