lig_0,lig_1,freenrg,error,lower_ci,upper_ci,CI,engine,analysis,method
lig_CHEMBL3264999,lig_CHEMBL3265004,-0.7443 kcal/mol,0.2413 kcal/mol,-1.7825870271781485,0.29394176700945307,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3264999,lig_CHEMBL3265002,1.2114 kcal/mol,0.3915 kcal/mol,-0.47328109052394285,2.8960866802176026,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3264999,lig_CHEMBL3265005,-0.5681 kcal/mol,0.3459 kcal/mol,-2.0566277819598593,0.920362474057425,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3259820,lig_CHEMBL3264999,10.0635 kcal/mol,0.7108 kcal/mol,7.005229974179935,13.121857917252433,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3259820,lig_CHEMBL3265026,-0.7057 kcal/mol,0.2309 kcal/mol,-1.699363158430883,0.28792434264026523,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265005,lig_CHEMBL3265026,-0.5936 kcal/mol,0.6338 kcal/mol,-3.320444766057732,2.133174057481482,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3259820,lig_CHEMBL3265016,1.7186 kcal/mol,0.1965 kcal/mol,0.87313873366662,2.564023043538059,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3259820,lig_CHEMBL3265017,0.2462 kcal/mol,0.1036 kcal/mol,-0.19962822244121387,0.6920276658401516,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265028,lig_CHEMBL3265036,0.3253 kcal/mol,0.1775 kcal/mol,-1.930211899997912,2.5808205073526618,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265028,lig_CHEMBL3265030,0.3567 kcal/mol,0.2246 kcal/mol,-0.6095235704515111,1.3230171812028466,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265027,lig_CHEMBL3265036,-1.4620 kcal/mol,0.2056 kcal/mol,-2.3468425142894436,-0.5772342566011461,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265005,lig_CHEMBL3265014,1.5842 kcal/mol,0.4824 kcal/mol,-0.4912156408637425,3.6596782616577346,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265024,lig_CHEMBL3265025,1.1613 kcal/mol,0.1540 kcal/mol,0.4985355827206779,1.824090859837848,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3259820,lig_CHEMBL3265005,3.7969 kcal/mol,0.1989 kcal/mol,2.9409302963622297,4.652805392370541,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265027,lig_CHEMBL3265030,-1.1072 kcal/mol,0.0994 kcal/mol,-1.5348410736847697,-0.6795267488612036,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265027,lig_CHEMBL3265034,-0.6333 kcal/mol,0.1326 kcal/mol,-1.203958550224407,-0.06263586698435486,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265028,lig_CHEMBL3265037,-0.6540 kcal/mol,0.2364 kcal/mol,-1.6709969382571546,0.3630568385928614,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265027,lig_CHEMBL3265035,-1.6175 kcal/mol,0.2604 kcal/mol,-2.7380773185656957,-0.49688946784763166,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265033,lig_CHEMBL3265034,5.2732 kcal/mol,0.5123 kcal/mol,3.06886803797561,7.477517556568282,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265032,lig_CHEMBL3265033,-0.6044 kcal/mol,0.3212 kcal/mol,-1.986363604025298,0.777508064426554,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265025,lig_CHEMBL3265026,-1.7072 kcal/mol,0.3040 kcal/mol,-3.015267238309073,-0.3991011280241481,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265029,lig_CHEMBL3265035,-1.5954 kcal/mol,0.0382 kcal/mol,-1.7598390966251765,-1.4309688068692827,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265031,lig_CHEMBL3265034,-1.3694 kcal/mol,0.2667 kcal/mol,-2.516886751843642,-0.221927218495112,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265024,lig_CHEMBL3265026,-1.1125 kcal/mol,0.0897 kcal/mol,-1.4983574603988896,-0.7266343866841427,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265031,lig_CHEMBL3265032,0.0030 kcal/mol,0.2465 kcal/mol,-1.05756449990454,1.0635634175445536,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265002,lig_CHEMBL3265004,-2.2162 kcal/mol,0.5884 kcal/mol,-4.7480714445918135,0.31567333820131216,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265012,lig_CHEMBL3265013,0.8057 kcal/mol,0.1852 kcal/mol,0.008697233929194303,1.6027499170241088,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265006,lig_CHEMBL3265009,-0.2711 kcal/mol,0.2552 kcal/mol,-1.3688946471865029,0.8267588487031168,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265017,lig_CHEMBL3265028,-0.2008 kcal/mol,0.3104 kcal/mol,-1.5363516414718448,1.1348240291512632,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265017,lig_CHEMBL3265029,-0.8333 kcal/mol,0.4559 kcal/mol,-2.7951057889591517,1.128449603707998,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265032,lig_CHEMBL3265037,1.5350 kcal/mol,0.3264 kcal/mol,0.13056599547051384,2.9394320447980373,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265008,lig_CHEMBL3265010,-0.6299 kcal/mol,0.3231 kcal/mol,-2.0202738565012925,0.7603850874997831,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3264996,lig_CHEMBL3264999,-0.2919 kcal/mol,0.5739 kcal/mol,-2.76127603448324,2.177487655345397,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265009,lig_CHEMBL3265010,0.6191 kcal/mol,0.4703 kcal/mol,-1.4044638958178886,2.6426585095024087,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265012,lig_CHEMBL3265014,-0.4125 kcal/mol,0.5176 kcal/mol,-2.6395717008798867,1.8146026447256798,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265019,lig_CHEMBL3265022,1.0150 kcal/mol,0.4233 kcal/mol,-0.8064847574046292,2.836547249596393,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265020,lig_CHEMBL3265023,0.2413 kcal/mol,0.1201 kcal/mol,-0.27565050163543636,0.758216767224415,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3259820,lig_CHEMBL3265013,0.8772 kcal/mol,0.1605 kcal/mol,0.18643204066405272,1.5679603160070232,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265005,lig_CHEMBL3265006,-2.3389 kcal/mol,0.1678 kcal/mol,-3.0608538854364946,-1.616860831509057,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265005,lig_CHEMBL3265009,-1.5169 kcal/mol,0.2905 kcal/mol,-2.766627079551915,-0.2671384268098984,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265017,lig_CHEMBL3265021,0.2963 kcal/mol,0.2859 kcal/mol,-0.9337133340483277,1.5262570407927285,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265017,lig_CHEMBL3265022,-1.0600 kcal/mol,0.2261 kcal/mol,-2.032670678187218,-0.08731770769777758,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265021,lig_CHEMBL3265023,-0.6167 kcal/mol,0.1270 kcal/mol,-1.1629155531380995,-0.07044014566998347,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265008,lig_CHEMBL3265009,-2.2500 kcal/mol,0.3574 kcal/mol,-3.787896932972818,-0.7120251197916858,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265016,lig_CHEMBL3265017,0.0567 kcal/mol,0.0577 kcal/mol,-0.1916226765423942,0.30502525048366624,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265016,lig_CHEMBL3265018,-0.5726 kcal/mol,0.2431 kcal/mol,-1.6187133105510523,0.4734796537810617,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265018,lig_CHEMBL3265020,1.4009 kcal/mol,0.0690 kcal/mol,1.1042224851204827,1.6976550342152537,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265019,lig_CHEMBL3265021,0.8035 kcal/mol,0.1061 kcal/mol,0.34690801911122454,1.260016951016504,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
lig_CHEMBL3265020,lig_CHEMBL3265021,0.2772 kcal/mol,0.1157 kcal/mol,-0.22077803274466512,0.7752779785758686,0.95,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_50,None
