lig_0,lig_1,freenrg,error,lower_ci,upper_ci,CI,engine,analysis,method
lig_CHEMBL3259820,lig_CHEMBL3264999,-0.1076 kcal/mol,0.7738 kcal/mol,-3.4371043119649665,3.221883583927956,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3264999,lig_CHEMBL3265005,5.3569 kcal/mol,0.2533 kcal/mol,4.267090650879019,6.446637981799847,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3264999,lig_CHEMBL3265004,-0.3075 kcal/mol,0.1336 kcal/mol,-0.8824768379414366,0.2674655744693383,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3264999,lig_CHEMBL3265002,-0.4808 kcal/mol,0.0696 kcal/mol,-0.7800906894297468,-0.1815315361607846,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3259820,lig_CHEMBL3265016,0.4431 kcal/mol,0.2232 kcal/mol,-0.5172498465912211,1.4035157529315199,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3265005,lig_CHEMBL3265026,-6.5517 kcal/mol,0.4898 kcal/mol,-8.658903166648937,-4.4444014808974295,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3259820,lig_CHEMBL3265026,-0.2102 kcal/mol,0.3445 kcal/mol,-1.6925775206193054,1.2721414171453733,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3259820,lig_CHEMBL3265017,-1.3553 kcal/mol,0.1112 kcal/mol,-1.8339020552787189,-0.8766844382299384,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3265028,lig_CHEMBL3265036,-1.1740 kcal/mol,0.3571 kcal/mol,-2.7105144941734323,0.36253416843999764,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3265028,lig_CHEMBL3265030,-0.3758 kcal/mol,0.0858 kcal/mol,-0.745018924324188,-0.00661198611988989,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3265027,lig_CHEMBL3265036,-2.3451 kcal/mol,0.2335 kcal/mol,-3.3497978389639167,-1.3404084045650688,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3265005,lig_CHEMBL3265014,-0.1075 kcal/mol,0.6606 kcal/mol,-2.9499380653597136,2.7348948682075225,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3259820,lig_CHEMBL3265005,1.7299 kcal/mol,0.6666 kcal/mol,-1.138011647744214,4.597907929338241,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3265027,lig_CHEMBL3265034,-1.0325 kcal/mol,0.0411 kcal/mol,-1.2094581166594625,-0.855570082708718,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3265024,lig_CHEMBL3265025,1.0365 kcal/mol,0.0693 kcal/mol,0.7381985370849403,1.334723265638193,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3265027,lig_CHEMBL3265030,-1.1649 kcal/mol,0.0247 kcal/mol,-1.271357073692868,-1.0584300587448474,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3265028,lig_CHEMBL3265037,-1.1055 kcal/mol,0.2143 kcal/mol,-2.0275665735206916,-0.18353341674052603,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3265027,lig_CHEMBL3265035,-2.0166 kcal/mol,0.1375 kcal/mol,-2.608116965652817,-1.4250124514753768,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
lig_CHEMBL3265032,lig_CHEMBL3265033,-0.9425 kcal/mol,0.0367 kcal/mol,-1.1002346182818505,-0.7847257745153606,0.95,SOMD,MBAR_alchemlyb_None_eqfalse_statstrue_truncate0_100,None
