,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_jmc28~lig_jmc30,-0.7541,0.0087,-0.7541,0.0087
lig_ejm46~lig_jmc30,-1.0117,0.095,-1.0117,0.095
lig_jmc27~lig_jmc28,,,,
lig_jmc23~lig_jmc28,-0.68,0.0619,-0.68,0.0619
lig_ejm31~lig_jmc28,-1.0097,0.1523,-1.0097,0.1523
lig_jmc23~lig_jmc27,-0.4173,0.0298,-0.4173,0.0298
lig_ejm54~lig_ejm55,1.4168,0.0419,1.4168,0.0419
lig_ejm45~lig_ejm55,-1.2452,0.452,-1.2452,0.452
lig_ejm42~lig_ejm54,-0.2863,0.0545,-0.2863,0.0545
lig_ejm48~lig_ejm53,1.2643,0.1852,1.2643,0.1852
lig_ejm31~lig_ejm53,1.2371,0.1556,1.2371,0.1556
lig_ejm42~lig_ejm50,-0.2052,0.0294,-0.2052,0.0294
lig_ejm31~lig_ejm50,0.5739,0.0239,0.5739,0.0239
lig_ejm31~lig_ejm49,0.7327,0.0815,0.7327,0.0815
Intermediate~lig_ejm49,-1.1299,0.2077,-1.1299,0.2077
lig_ejm31~lig_ejm48,-0.1024,0.1959,-0.1024,0.1959
lig_ejm31~lig_ejm47,-0.3927,0.0548,-0.3927,0.0548
Intermediate~lig_ejm47,-1.9434,0.1893,-1.9434,0.1893
lig_ejm31~lig_ejm46,-0.6039,0.0817,-0.6039,0.0817
lig_ejm42~lig_ejm45,2.4812,0.0549,2.4812,0.0549
lig_ejm43~lig_ejm44,1.7109,0.0716,1.7109,0.0716
lig_ejm42~lig_ejm44,-0.8053,0.0857,-0.8053,0.0857
lig_ejm42~lig_ejm43,-0.5386,0.0157,-0.5386,0.0157
lig_ejm31~lig_ejm42,0.4762,0.0262,0.4762,0.0262
