,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_ejm31~lig_ejm50,-0.1414,0.0806,0.5739,0.0239
lig_ejm31~lig_ejm42,2.385,1.6326,0.4762,0.0262
lig_ejm48~lig_ejm53,0.9974,0.0548,1.2643,0.1852
lig_ejm31~lig_ejm45,0.0795,0.2151,0.6735,0.19
lig_ejm31~lig_ejm48,0.5607,0.3842,-0.1024,0.1959
lig_jmc23~lig_jmc30,0.2833,0.0334,-0.1761,0.1121
lig_ejm43~lig_ejm44,1.5494,0.1341,1.7109,0.0716
lig_ejm31~lig_ejm49,-0.3849,0.5983,0.7327,0.0815
lig_ejm31~lig_ejm54,0.2428,0.1082,0.1094,0.083
lig_ejm46~lig_jmc23,0.4151,0.0672,-1.7602,0.237
lig_jmc23~lig_jmc27,-0.3684,0.0427,-0.4173,0.0298
lig_ejm31~lig_ejm46,-0.7292,0.4054,-0.6039,0.0817
lig_ejm31~lig_ejm47,-0.4793,0.3682,-0.3927,0.0548
lig_ejm31~lig_ejm44,1.0639,0.1601,1.6815,0.0281
lig_ejm49~lig_ejm55,-0.5797,0.162,-0.5074,0.1447
lig_ejm31~lig_jmc27,-0.0907,0.249,-0.6877,0.0531
lig_ejm31~lig_ejm53,0.9794,0.3371,1.2371,0.1556
lig_ejm31~lig_jmc28,-0.1316,0.0814,-1.0097,0.1523
lig_ejm31~lig_ejm55,-0.2026,0.097,-0.5742,0.1042
lig_ejm31~lig_jmc30,-1.5904,0.1501,-1.8448,0.1009
lig_jmc23~lig_jmc28,-0.2812,0.0882,-0.68,0.0619
lig_ejm31~lig_ejm43,0.9778,0.1142,1.0622,0.0644
lig_ejm47~lig_ejm55,-0.4837,0.3568,-0.2057,0.0807
lig_ejm48~lig_ejm55,-0.7205,0.3624,0.3482,0.0813
