,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_ejm54~lig_ejm55,1.4168,0.0419,0.9389,0.1888
lig_ejm42~lig_ejm43,-0.5386,0.0157,0.615,0.1235
lig_ejm46~lig_jmc23,-1.7602,0.237,-0.139,0.0947
lig_ejm31~lig_ejm43,1.0622,0.0644,0.3928,0.2269
lig_ejm31~lig_ejm47,-0.3927,0.0548,-1.1196,0.1051
lig_jmc23~lig_jmc27,-0.4173,0.0298,-0.4643,0.2059
lig_ejm53~lig_ejm54,-2.5368,0.1269,-2.9351,0.162
lig_ejm42~lig_ejm45,2.4812,0.0549,0.0987,0.504
lig_ejm31~lig_ejm44,1.6815,0.0281,3.5892,0.4246
lig_ejm31~lig_ejm42,0.4762,0.0262,1.8833,0.2238
lig_jmc23~lig_jmc28,-0.68,0.0619,-0.1649,0.1985
lig_ejm31~lig_ejm55,-0.5742,0.1042,-0.8976,0.158
lig_ejm42~lig_ejm53,-0.2048,0.0617,0.3002,0.2973
lig_ejm42~lig_ejm50,-0.2052,0.0294,0.137,0.6422
lig_ejm31~lig_jmc28,-1.0097,0.1523,-0.5159,0.0782
lig_ejm31~lig_jmc30,-1.8448,0.1009,-1.6822,0.1553
lig_ejm42~lig_ejm48,-0.8088,0.0405,-0.2223,0.2819
lig_ejm31~lig_ejm49,0.7327,0.0815,-0.0321,0.0804
lig_ejm42~lig_ejm47,-0.6753,0.0472,-0.5819,0.2709
lig_ejm31~lig_ejm54,0.1094,0.083,-0.1177,0.0729
lig_ejm45~lig_ejm55,-1.2452,0.452,-3.1023,0.2294
lig_ejm31~lig_ejm48,-0.1024,0.1959,0.1717,0.0607
lig_ejm42~lig_ejm46,-0.3,0.0184,0.6676,0.2794
lig_ejm44~lig_jmc30,-4.4097,0.542,-4.3395,0.1418
lig_ejm42~lig_ejm49,-0.9978,0.2138,-1.0828,0.223
lig_ejm31~lig_ejm46,-0.6039,0.0817,-0.4274,0.3518
lig_ejm50~lig_ejm55,-1.9327,0.2675,-0.8715,0.2306
lig_ejm53~lig_jmc27,-1.6575,0.1501,-0.2604,0.2255
lig_ejm44~lig_ejm55,-2.3722,0.2295,-5.0591,0.3818
lig_jmc27~lig_jmc30,-0.4625,0.2287,0.0203,0.2261
