,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_ejm45~lig_ejm53,1.2051,0.2807,-0.0213,0.3658
lig_ejm44~lig_ejm54,-1.7788,0.3576,-5.7565,0.7382
lig_ejm54~lig_ejm55,1.4168,0.0419,0.9389,0.1888
lig_ejm48~lig_ejm55,0.3482,0.0813,0.2846,0.2644
lig_ejm45~lig_ejm55,-1.2452,0.452,-3.1023,0.2294
lig_ejm43~lig_ejm46,-1.2995,0.1073,-1.4278,0.1753
lig_ejm43~lig_ejm47,-1.0636,0.0246,0.2931,0.0896
lig_ejm42~lig_ejm53,-0.2048,0.0617,0.3002,0.2973
lig_ejm42~lig_ejm46,-0.3,0.0184,0.6676,0.2794
lig_ejm42~lig_ejm47,-0.6753,0.0472,-0.5819,0.2709
lig_ejm42~lig_ejm48,-0.8088,0.0405,-0.2223,0.2819
lig_ejm43~lig_ejm50,-0.14,0.1392,-0.6902,0.3586
lig_ejm42~lig_ejm45,2.4812,0.0549,0.0987,0.504
lig_ejm42~lig_ejm50,-0.2052,0.0294,0.137,0.6422
lig_ejm44~lig_ejm55,-2.3722,0.2295,-5.0591,0.3818
lig_ejm44~lig_ejm49,-2.2861,0.0888,0.4018,0.5207
lig_ejm31~lig_ejm49,0.7327,0.0815,-0.0321,0.0804
lig_ejm31~lig_ejm42,0.4762,0.0262,1.8833,0.2238
lig_ejm42~lig_ejm55,-0.2998,0.0628,-1.2242,0.2141
lig_ejm42~lig_ejm44,-0.8053,0.0857,1.8821,0.3962
lig_jmc27~lig_jmc30,-0.4625,0.2287,0.0203,0.2261
lig_jmc23~lig_jmc30,-0.1761,0.1121,-0.4898,0.4643
lig_ejm31~lig_ejm44,1.6815,0.0281,3.5892,0.4246
lig_ejm42~lig_ejm43,-0.5386,0.0157,0.615,0.1235
lig_ejm43~lig_ejm44,1.7109,0.0716,2.135,0.2551
lig_ejm46~lig_jmc27,1.169,0.0561,0.3519,0.3568
lig_ejm46~lig_jmc23,-1.7602,0.237,-0.139,0.0947
lig_jmc27~lig_jmc28,,,0.8614,0.0777
lig_jmc23~lig_jmc28,-0.68,0.0619,-0.1649,0.1985
lig_jmc23~lig_jmc27,-0.4173,0.0298,-0.4643,0.2059
