,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_jmc28~lig_jmc30,-0.7031,0.1549,-0.7031,0.1549
lig_ejm46~lig_jmc30,-1.2826,0.1894,-1.2826,0.1894
lig_jmc27~lig_jmc28,0.8614,0.0777,0.8614,0.0777
lig_jmc23~lig_jmc28,-0.1649,0.1985,-0.1649,0.1985
lig_ejm31~lig_jmc28,-0.5159,0.0782,-0.5159,0.0782
lig_jmc23~lig_jmc27,-0.4643,0.2059,-0.4643,0.2059
lig_ejm54~lig_ejm55,0.9389,0.1888,0.9389,0.1888
lig_ejm45~lig_ejm55,-3.1023,0.2294,-3.1023,0.2294
lig_ejm42~lig_ejm54,-0.0237,0.1599,-0.0237,0.1599
lig_ejm48~lig_ejm53,-0.3929,0.2015,-0.3929,0.2015
lig_ejm31~lig_ejm53,1.9386,0.3743,1.9386,0.3743
lig_ejm42~lig_ejm50,0.137,0.6422,0.137,0.6422
lig_ejm31~lig_ejm50,1.0907,0.0552,1.0907,0.0552
lig_ejm31~lig_ejm49,-0.0321,0.0804,-0.0321,0.0804
Intermediate~lig_ejm49,0.6589,0.4482,0.6589,0.4482
lig_ejm31~lig_ejm48,0.1717,0.0607,0.1717,0.0607
lig_ejm31~lig_ejm47,-1.1196,0.1051,-1.1196,0.1051
Intermediate~lig_ejm47,-0.8176,0.1332,-0.8176,0.1332
lig_ejm31~lig_ejm46,-0.4274,0.3518,-0.4274,0.3518
lig_ejm42~lig_ejm45,0.0987,0.504,0.0987,0.504
lig_ejm43~lig_ejm44,2.135,0.2551,2.135,0.2551
lig_ejm42~lig_ejm44,1.8821,0.3962,1.8821,0.3962
lig_ejm42~lig_ejm43,0.615,0.1235,0.615,0.1235
lig_ejm31~lig_ejm42,1.8833,0.2238,1.8833,0.2238
