,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_ejm42~lig_ejm49,-0.9978,0.2138,-0.453,0.3822
lig_ejm31~lig_ejm49,0.7327,0.0815,-0.3849,0.5983
lig_ejm31~lig_ejm48,-0.1024,0.1959,0.5607,0.3842
lig_ejm31~lig_ejm53,1.2371,0.1556,0.9794,0.3371
lig_ejm42~lig_ejm47,-0.6753,0.0472,-1.0341,0.0848
lig_ejm31~lig_ejm47,-0.3927,0.0548,-0.4793,0.3682
lig_ejm31~lig_jmc23,-0.7151,0.0756,-1.2588,0.229
lig_ejm31~lig_ejm46,-0.6039,0.0817,-0.7292,0.4054
lig_ejm44~lig_ejm45,-0.7128,0.1691,0.1982,1.0161
lig_ejm31~lig_ejm45,0.6735,0.19,0.0795,0.2151
lig_jmc28~lig_jmc30,-0.7541,0.0087,-0.1714,0.1272
lig_ejm46~lig_jmc30,-1.0117,0.095,-0.9282,0.3057
lig_ejm42~lig_ejm54,-0.2863,0.0545,-0.5602,0.195
lig_ejm54~lig_ejm55,1.4168,0.0419,2.58,0.1807
lig_ejm31~lig_ejm50,0.5739,0.0239,-0.1414,0.0806
lig_ejm42~lig_ejm43,-0.5386,0.0157,-0.6163,0.0274
lig_ejm43~lig_ejm44,1.7109,0.0716,1.5494,0.1341
lig_ejm46~lig_jmc28,0.0966,0.0434,-0.2118,0.0911
lig_ejm42~lig_ejm50,-0.2052,0.0294,-0.6082,0.1329
lig_ejm42~lig_ejm55,-0.2998,0.0628,-0.8952,0.0801
lig_ejm48~lig_ejm53,1.2643,0.1852,0.9974,0.0548
lig_jmc23~lig_jmc27,-0.4173,0.0298,-0.3684,0.0427
lig_jmc23~lig_jmc28,-0.68,0.0619,-0.2812,0.0882
lig_jmc27~lig_jmc28,,,0.9311,0.0359
lig_ejm45~lig_ejm53,1.2051,0.2807,5.8556,0.5767
lig_ejm44~lig_ejm54,-1.7788,0.3576,0.1838,0.2303
lig_ejm48~lig_ejm55,0.3482,0.0813,-0.7205,0.3624
lig_ejm45~lig_ejm55,-1.2452,0.452,-3.23,0.4856
lig_ejm43~lig_ejm46,-1.2995,0.1073,-1.732,0.096
lig_ejm43~lig_ejm47,-1.0636,0.0246,-0.9204,0.3395
lig_ejm42~lig_ejm53,-0.2048,0.0617,0.6376,0.778
lig_ejm42~lig_ejm46,-0.3,0.0184,-0.8979,0.1561
lig_ejm42~lig_ejm48,-0.8088,0.0405,-0.4042,0.1879
lig_ejm43~lig_ejm50,-0.14,0.1392,-1.0841,0.1502
lig_ejm42~lig_ejm45,2.4812,0.0549,-0.7098,0.262
lig_ejm44~lig_ejm55,-2.3722,0.2295,-2.366,0.4695
lig_ejm44~lig_ejm49,-2.2861,0.0888,-2.1406,0.1975
lig_ejm31~lig_ejm42,0.4762,0.0262,2.385,1.6326
lig_ejm42~lig_ejm44,-0.8053,0.0857,-0.4932,0.103
lig_jmc27~lig_jmc30,-0.4625,0.2287,-0.1525,0.1923
lig_jmc23~lig_jmc30,-0.1761,0.1121,0.2833,0.0334
lig_ejm31~lig_ejm44,1.6815,0.0281,1.0639,0.1601
lig_ejm46~lig_jmc27,1.169,0.0561,1.0171,0.1245
lig_ejm46~lig_jmc23,-1.7602,0.237,0.4151,0.0672
lig_ejm31~lig_jmc28,-1.0097,0.1523,-0.1316,0.0814
Intermediate~lig_ejm49,-1.1299,0.2077,-1.3785,0.1334
Intermediate~lig_ejm47,-1.9434,0.1893,-1.8097,0.0826
lig_ejm31~lig_ejm54,0.1094,0.083,0.2428,0.1082
lig_ejm49~lig_ejm55,-0.5074,0.1447,-0.5797,0.162
lig_ejm31~lig_jmc27,-0.6877,0.0531,-0.0907,0.249
lig_ejm31~lig_ejm55,-0.5742,0.1042,-0.2026,0.097
lig_ejm31~lig_jmc30,-1.8448,0.1009,-1.5904,0.1501
lig_ejm31~lig_ejm43,1.0622,0.0644,0.9778,0.1142
lig_ejm47~lig_ejm55,-0.2057,0.0807,-0.4837,0.3568
lig_ejm50~lig_ejm54,0.3914,0.3015,,
lig_ejm53~lig_ejm55,-1.0513,0.1926,-0.8063,0.3013
lig_ejm55~lig_jmc27,-0.6495,0.203,-0.1239,0.1994
lig_ejm53~lig_ejm54,-2.5368,0.1269,-1.7751,0.3846
lig_ejm44~lig_jmc30,-4.4097,0.542,-5.3037,0.5499
lig_ejm50~lig_ejm55,-1.9327,0.2675,,
lig_ejm53~lig_jmc27,-1.6575,0.1501,-1.1398,0.0901
lig_ejm48~lig_ejm54,-1.3954,0.1917,-2.293,0.1189
