,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_ejm31~lig_ejm50,0.5739,0.0239,-0.1414,0.0806
lig_ejm31~lig_ejm42,0.4762,0.0262,2.385,1.6326
lig_ejm48~lig_ejm53,1.2643,0.1852,0.9974,0.0548
lig_ejm31~lig_ejm45,0.6735,0.19,0.0795,0.2151
lig_ejm31~lig_ejm48,-0.1024,0.1959,0.5607,0.3842
lig_jmc23~lig_jmc30,-0.1761,0.1121,0.2833,0.0334
lig_ejm43~lig_ejm44,1.7109,0.0716,1.5494,0.1341
lig_ejm31~lig_ejm49,0.7327,0.0815,-0.3849,0.5983
lig_ejm31~lig_ejm54,0.1094,0.083,0.2428,0.1082
lig_ejm46~lig_jmc23,-1.7602,0.237,0.4151,0.0672
lig_jmc23~lig_jmc27,-0.4173,0.0298,-0.3684,0.0427
lig_ejm31~lig_ejm46,-0.6039,0.0817,-0.7292,0.4054
lig_ejm31~lig_ejm47,-0.3927,0.0548,-0.4793,0.3682
lig_ejm31~lig_ejm44,1.6815,0.0281,1.0639,0.1601
lig_ejm49~lig_ejm55,-0.5074,0.1447,-0.5797,0.162
lig_ejm31~lig_jmc27,-0.6877,0.0531,-0.0907,0.249
lig_ejm31~lig_ejm53,1.2371,0.1556,0.9794,0.3371
lig_ejm31~lig_jmc28,-1.0097,0.1523,-0.1316,0.0814
lig_ejm31~lig_ejm55,-0.5742,0.1042,-0.2026,0.097
lig_ejm31~lig_jmc30,-1.8448,0.1009,-1.5904,0.1501
lig_jmc23~lig_jmc28,-0.68,0.0619,-0.2812,0.0882
lig_ejm31~lig_ejm43,1.0622,0.0644,0.9778,0.1142
lig_ejm47~lig_ejm55,-0.2057,0.0807,-0.4837,0.3568
lig_ejm48~lig_ejm55,0.3482,0.0813,-0.7205,0.3624
