,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_ejm45~lig_ejm53,-0.0213,0.3658,5.8556,0.5767
lig_ejm44~lig_ejm54,-5.7565,0.7382,0.1838,0.2303
lig_ejm54~lig_ejm55,0.9389,0.1888,2.58,0.1807
lig_ejm48~lig_ejm55,0.2846,0.2644,-0.7205,0.3624
lig_ejm45~lig_ejm55,-3.1023,0.2294,-3.23,0.4856
lig_ejm43~lig_ejm46,-1.4278,0.1753,-1.732,0.096
lig_ejm43~lig_ejm47,0.2931,0.0896,-0.9204,0.3395
lig_ejm42~lig_ejm53,0.3002,0.2973,0.6376,0.778
lig_ejm42~lig_ejm46,0.6676,0.2794,-0.8979,0.1561
lig_ejm42~lig_ejm47,-0.5819,0.2709,-1.0341,0.0848
lig_ejm42~lig_ejm48,-0.2223,0.2819,-0.4042,0.1879
lig_ejm43~lig_ejm50,-0.6902,0.3586,-1.0841,0.1502
lig_ejm42~lig_ejm45,0.0987,0.504,-0.7098,0.262
lig_ejm42~lig_ejm50,0.137,0.6422,-0.6082,0.1329
lig_ejm44~lig_ejm55,-5.0591,0.3818,-2.366,0.4695
lig_ejm44~lig_ejm49,0.4018,0.5207,-2.1406,0.1975
lig_ejm31~lig_ejm49,-0.0321,0.0804,-0.3849,0.5983
lig_ejm31~lig_ejm42,1.8833,0.2238,2.385,1.6326
lig_ejm42~lig_ejm55,-1.2242,0.2141,-0.8952,0.0801
lig_ejm42~lig_ejm44,1.8821,0.3962,-0.4932,0.103
lig_jmc27~lig_jmc30,0.0203,0.2261,-0.1525,0.1923
lig_jmc23~lig_jmc30,-0.4898,0.4643,0.2833,0.0334
lig_ejm31~lig_ejm44,3.5892,0.4246,1.0639,0.1601
lig_ejm42~lig_ejm43,0.615,0.1235,-0.6163,0.0274
lig_ejm43~lig_ejm44,2.135,0.2551,1.5494,0.1341
lig_ejm46~lig_jmc27,0.3519,0.3568,1.0171,0.1245
lig_ejm46~lig_jmc23,-0.139,0.0947,0.4151,0.0672
lig_jmc27~lig_jmc28,0.8614,0.0777,0.9311,0.0359
lig_jmc23~lig_jmc28,-0.1649,0.1985,-0.2812,0.0882
lig_jmc23~lig_jmc27,-0.4643,0.2059,-0.3684,0.0427
