lig_0,lig_1,freenrg,error,engine,analysis
lig_ejm42,lig_ejm49,-0.9361 kcal/mol,0.1676 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm49,-0.0513 kcal/mol,0.0369 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm48,0.1489 kcal/mol,0.0542 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm53,1.7772 kcal/mol,0.3936 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm47,-0.6044 kcal/mol,0.1518 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm47,-1.2400 kcal/mol,0.1115 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_jmc23,0.1136 kcal/mol,0.2258 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm46,-0.4750 kcal/mol,0.3136 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm44,lig_ejm45,-2.7022 kcal/mol,0.2779 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm45,0.8163 kcal/mol,0.1290 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_jmc28,lig_jmc30,-0.5796 kcal/mol,0.1071 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm46,lig_jmc30,-1.2390 kcal/mol,0.2042 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm54,-0.0451 kcal/mol,0.1728 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm54,lig_ejm55,0.9431 kcal/mol,0.3034 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm50,1.0481 kcal/mol,0.0764 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm43,0.6722 kcal/mol,0.1154 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm43,lig_ejm44,2.1571 kcal/mol,0.2187 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm46,lig_jmc28,0.4010 kcal/mol,0.0838 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm55,-1.1892 kcal/mol,0.1970 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm50,0.2099 kcal/mol,0.5930 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_jmc23,lig_jmc27,-0.4726 kcal/mol,0.2366 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_jmc23,lig_jmc28,-0.2912 kcal/mol,0.2586 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_jmc27,lig_jmc28,1.0540 kcal/mol,0.0551 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm45,lig_ejm53,-0.0620 kcal/mol,0.3110 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm48,lig_ejm53,-0.5772 kcal/mol,0.2108 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm44,lig_ejm54,-5.8113 kcal/mol,0.8643 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm48,lig_ejm55,0.2414 kcal/mol,0.2266 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm45,lig_ejm55,-3.2227 kcal/mol,0.2524 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm43,lig_ejm46,-1.4364 kcal/mol,0.1826 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm43,lig_ejm47,0.3872 kcal/mol,0.1008 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm46,0.7557 kcal/mol,0.2847 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm53,0.3049 kcal/mol,0.3429 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm48,-0.1321 kcal/mol,0.2734 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm45,0.1886 kcal/mol,0.4832 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm43,lig_ejm50,-0.8426 kcal/mol,0.3648 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm44,lig_ejm55,-5.2852 kcal/mol,0.5504 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm44,lig_ejm49,0.3612 kcal/mol,0.5476 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm42,2.0291 kcal/mol,0.1819 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm44,1.9941 kcal/mol,0.3841 kcal/mol,GROMACS,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
