lig_0,lig_1,freenrg,error,engine,analysis
lig_ejm31,lig_ejm48,0.5607 kcal/mol,0.3842 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm42,lig_ejm49,-0.4530 kcal/mol,0.3822 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm31,lig_ejm49,-0.3849 kcal/mol,0.5983 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm31,lig_ejm53,0.9794 kcal/mol,0.3371 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm42,lig_ejm47,-1.0341 kcal/mol,0.0848 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm31,lig_ejm47,-0.4793 kcal/mol,0.3682 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm31,lig_jmc23,-1.2588 kcal/mol,0.2290 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm31,lig_ejm46,-0.7292 kcal/mol,0.4054 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm44,lig_ejm45,0.1982 kcal/mol,1.0161 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm31,lig_ejm45,0.0795 kcal/mol,0.2151 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_jmc28,lig_jmc30,-0.1714 kcal/mol,0.1272 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm46,lig_jmc30,-0.9282 kcal/mol,0.3057 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm42,lig_ejm54,-0.5602 kcal/mol,0.1950 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm54,lig_ejm55,2.5800 kcal/mol,0.1807 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm31,lig_ejm50,-0.1414 kcal/mol,0.0806 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm42,lig_ejm43,-0.6163 kcal/mol,0.0274 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm43,lig_ejm44,1.5494 kcal/mol,0.1341 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm46,lig_jmc28,-0.2118 kcal/mol,0.0911 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm42,lig_ejm50,-0.6082 kcal/mol,0.1329 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm42,lig_ejm55,-0.8952 kcal/mol,0.0801 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_ejm48,lig_ejm53,0.9974 kcal/mol,0.0548 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_jmc23,lig_jmc28,-0.2812 kcal/mol,0.0882 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
lig_jmc23,lig_jmc27,-0.3684 kcal/mol,0.0427 kcal/mol,SOMD,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_100
