lig_0,lig_1,freenrg,error,engine,analysis
lig_ejm31,lig_ejm48,-0.1400 kcal/mol,0.1597 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm49,-0.9900 kcal/mol,0.1843 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm49,0.6961 kcal/mol,0.0582 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm53,1.1248 kcal/mol,0.1307 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm47,-0.4525 kcal/mol,0.0739 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm47,-0.6631 kcal/mol,0.0604 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_jmc23,-0.7945 kcal/mol,0.0470 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm46,-0.6408 kcal/mol,0.0750 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm45,0.7127 kcal/mol,0.1927 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm44,lig_ejm45,-0.4649 kcal/mol,0.1552 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_jmc28,lig_jmc30,-0.7760 kcal/mol,0.0246 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm46,lig_jmc30,-0.9773 kcal/mol,0.0941 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm54,-0.2184 kcal/mol,0.0710 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm54,lig_ejm55,1.4975 kcal/mol,0.0502 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm31,lig_ejm50,0.6100 kcal/mol,0.0496 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm43,-0.5743 kcal/mol,0.0213 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm43,lig_ejm44,1.7432 kcal/mol,0.0380 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm46,lig_jmc28,0.1020 kcal/mol,0.0415 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm50,-0.1387 kcal/mol,0.0780 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm55,-0.2696 kcal/mol,0.0615 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_jmc23,lig_jmc27,-0.3900 kcal/mol,0.0177 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_jmc23,lig_jmc28,-0.7235 kcal/mol,0.0698 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm45,lig_ejm53,1.2990 kcal/mol,0.2255 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm44,lig_ejm54,-1.7565 kcal/mol,0.3472 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_jmc27,lig_jmc28,nan,nan,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm48,lig_ejm55,0.4142 kcal/mol,0.0453 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm43,lig_ejm46,-1.3885 kcal/mol,0.0929 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm45,lig_ejm55,-1.4083 kcal/mol,0.4487 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm43,lig_ejm47,-1.0699 kcal/mol,0.0311 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm48,lig_ejm53,1.1449 kcal/mol,0.1848 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm53,-0.2366 kcal/mol,0.0954 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
lig_ejm42,lig_ejm46,-0.3021 kcal/mol,0.0536 kcal/mol,AMBER,MBAR_alchemlyb_None_eqfalse_statsfalse_truncate0_75
